Record#,Elapsed_Time,Time_in_Community,Gender,Working,Age,Family,Hobbies,Social_Club,Political,Professional,Religious,Support_Group
1,2.97,Long,F,Yes,28,No,Yes,No,No,No,Yes,No
2,5.12,Medium,F,No,30,No,No,No,No,Yes,No,No
3,5.41,Medium,M,Yes,32,No,Yes,Yes,No,No,Yes,No
4,6.27,Long,M,No,31,No,No,No,No,Yes,No,Yes
5,8.81,Long,F,No,22,No,No,No,No,Yes,No,No
6,7.94,Medium,M,No,25,No,Yes,No,No,No,No,No
7,9.66,Short,M,Yes,23,Yes,Yes,No,No,No,Yes,No
8,2.14,Medium,F,No,21,No,No,No,No,No,No,No
9,9.78,Long,M,Yes,31,Yes,No,No,No,No,No,No
10,8.93,Long,F,Yes,42,Yes,Yes,Yes,No,No,Yes,No
11,6.05,Medium,F,Yes,56,Yes,No,No,No,Yes,No,No
12,8.84,Long,M,Yes,30,No,No,No,No,No,No,No
13,8.31,Medium,M,Yes,40,Yes,No,No,No,Yes,Yes,No
14,7.26,Short,F,No,22,No,No,No,No,No,No,No
15,6.39,Medium,M,No,52,Yes,Yes,No,Yes,No,Yes,No
16,3.77,Medium,M,No,19,No,No,No,No,Yes,No,No
17,4.28,Medium,M,Yes,52,No,No,No,No,No,No,No
18,2.43,Long,M,Yes,37,Yes,No,No,No,No,No,No
19,8.89,Short,F,Yes,31,No,No,No,No,No,No,No
20,3.32,Long,F,Yes,42,Yes,Yes,Yes,Yes,Yes,No,Yes
21,8.78,Medium,M,No,21,No,No,No,No,Yes,No,No
22,9.89,Medium,M,Yes,20,No,No,No,No,Yes,No,Yes
23,6.45,Short,F,Yes,55,No,No,No,No,No,No,No
24,7.41,Medium,F,Yes,48,No,No,No,No,Yes,No,No
25,8.98,Short,F,No,49,No,No,Yes,No,No,Yes,No
26,7.83,Long,M,No,23,Yes,No,No,No,No,Yes,No
27,5.19,Medium,F,No,47,Yes,Yes,No,No,No,No,No
28,5.02,Long,M,No,54,No,Yes,No,No,No,Yes,No
29,2.36,Medium,M,No,31,Yes,Yes,No,No,Yes,No,No
30,5.86,Medium,M,Yes,52,No,No,No,No,No,No,No
31,4.16,Medium,M,Yes,18,Yes,No,No,No,Yes,Yes,No
32,6.6,Long,F,No,20,Yes,No,No,No,No,No,No
33,10.03,Medium,F,No,25,Yes,No,No,No,Yes,No,No
34,4.18,Short,M,No,28,No,No,No,No,No,Yes,No
35,4.48,Short,F,Yes,24,No,No,No,No,No,Yes,No
36,3.2,Short,F,Yes,31,Yes,No,No,No,No,No,Yes
37,9.45,Medium,M,No,47,No,Yes,No,No,Yes,Yes,Yes
38,6.06,Medium,M,Yes,50,No,No,No,No,Yes,No,No
39,2.1,Medium,F,No,26,Yes,No,No,No,Yes,No,No
40,9.66,Short,M,Yes,46,No,No,No,No,No,Yes,No
41,4.73,Long,F,Yes,24,Yes,No,No,No,No,No,No
42,4.92,Short,F,Yes,29,Yes,Yes,No,No,No,No,Yes
43,7.16,Long,M,No,39,Yes,Yes,No,No,No,Yes,No
44,2.87,Short,F,No,45,Yes,Yes,No,No,No,Yes,No
45,7.83,Long,F,Yes,31,Yes,No,Yes,No,Yes,Yes,No
46,4.43,Medium,F,Yes,35,No,No,No,No,No,Yes,No
47,8.12,Long,M,Yes,39,Yes,No,No,No,No,Yes,No
48,7.98,Long,M,No,44,Yes,Yes,No,No,No,Yes,No
49,6.63,Short,F,No,39,Yes,No,Yes,No,No,No,No
50,9.78,Medium,M,No,36,No,No,Yes,No,No,Yes,No
51,6.05,Long,M,Yes,51,No,No,No,No,Yes,No,No
52,3.8,Long,M,Yes,55,No,Yes,No,No,Yes,No,No
