Record#,Elapsed_Time,Time_in_Community,Gender,Working,Age,Family,Hobbies,Social_Club,Political,Professional,Religious,Support_Group
1,3.82,Medium,F,Yes,35,Yes,Yes,No,No,No,Yes,No
2,8.05,Long,M,No,33,No,No,No,No,Yes,No,No
3,7.32,Long,M,No,21,No,No,No,No,Yes,No,No
4,7.06,Long,F,Yes,49,No,Yes,No,Yes,Yes,No,No
5,3.71,Medium,M,No,42,No,No,No,No,No,No,No
6,2.46,Long,M,Yes,21,No,No,No,No,Yes,No,No
7,4.47,Long,M,No,34,No,No,No,No,Yes,No,No
8,7.13,Medium,F,No,41,Yes,No,No,No,No,No,No
9,6.14,Long,M,No,35,Yes,No,Yes,No,No,Yes,No
10,10.02,Long,F,No,23,Yes,Yes,Yes,No,No,Yes,No
11,3.47,Short,F,Yes,46,No,No,No,No,Yes,Yes,No
12,4.65,Long,F,Yes,29,Yes,Yes,No,No,No,Yes,No
13,4.43,Medium,F,No,49,No,No,Yes,No,Yes,No,Yes
14,7.84,Long,F,No,32,Yes,Yes,No,No,No,Yes,No
15,4.83,Medium,M,Yes,23,Yes,No,No,Yes,No,No,No
16,10.08,Long,M,Yes,23,Yes,No,No,No,No,No,No
17,2.77,Long,F,Yes,44,No,No,No,Yes,Yes,Yes,No
18,9.45,Long,M,No,32,No,No,No,No,No,Yes,No
19,3.2,Medium,F,No,25,No,Yes,Yes,No,No,Yes,No
20,2.36,Medium,M,No,31,Yes,Yes,No,No,Yes,No,No
21,9.69,Medium,M,Yes,44,No,No,No,No,Yes,No,No
22,8.28,Medium,M,Yes,44,No,Yes,Yes,No,Yes,No,Yes
23,2.79,Medium,M,Yes,45,Yes,Yes,No,No,Yes,Yes,No
24,6.18,Medium,F,Yes,25,Yes,No,No,Yes,Yes,No,No
25,7.08,Medium,F,Yes,31,No,No,No,No,Yes,No,No
26,8.8,Long,M,No,52,Yes,No,No,No,No,Yes,No
27,2.43,Long,M,Yes,37,Yes,No,No,No,No,No,No
28,6.66,Short,M,Yes,36,No,No,No,No,Yes,No,No
29,3.01,Short,M,No,21,Yes,Yes,Yes,No,No,Yes,No
30,2.8,Medium,F,Yes,52,No,No,No,No,No,Yes,No
31,8.61,Long,M,No,55,No,Yes,Yes,No,No,Yes,No
32,8.72,Medium,F,Yes,47,Yes,Yes,No,No,No,Yes,No
33,3.2,Long,F,Yes,51,No,No,No,Yes,Yes,No,No
34,2.84,Long,M,No,35,Yes,No,No,No,No,No,No
35,4.48,Long,M,Yes,43,No,No,No,No,No,No,Yes
36,8.34,Medium,M,Yes,39,No,No,No,No,No,Yes,No
37,3.29,Long,F,Yes,55,No,Yes,No,No,No,No,No
38,4.33,Medium,M,Yes,35,Yes,No,No,No,No,No,No
39,7.26,Long,M,Yes,20,No,Yes,No,No,No,No,No
40,2.61,Long,F,No,23,No,No,No,No,No,No,No
41,6.85,Short,F,No,44,Yes,Yes,No,No,Yes,Yes,No
42,7.16,Medium,M,Yes,46,No,No,No,No,No,No,No
43,8.84,Medium,F,No,33,No,No,No,No,No,No,No
44,6.1,Long,M,Yes,30,No,No,No,No,No,No,No
45,9.56,Long,M,No,54,Yes,Yes,No,No,No,Yes,No
46,3.01,Long,M,Yes,56,Yes,No,No,No,No,No,No
47,5.13,Medium,M,Yes,46,No,No,No,No,No,No,No
48,9.4,Long,F,Yes,46,No,No,No,No,Yes,Yes,No
49,5.2,Long,F,Yes,55,No,Yes,No,No,No,No,No
50,6.62,Short,M,Yes,37,No,Yes,No,No,No,Yes,No
51,2.62,Medium,F,No,40,Yes,No,No,No,No,No,No
52,5.67,Long,F,No,32,No,No,No,No,Yes,No,No
53,5.43,Long,M,No,53,No,No,No,No,No,No,No
54,7.85,Medium,M,Yes,39,No,No,No,No,Yes,No,Yes
55,9.43,Long,F,Yes,40,No,No,Yes,No,Yes,Yes,No
56,7.57,Long,M,Yes,48,No,No,No,Yes,No,No,No
57,4.88,Medium,M,No,42,Yes,Yes,No,No,No,No,No
58,9.04,Long,M,No,34,Yes,Yes,No,No,No,Yes,No
59,2.61,Short,M,Yes,24,No,No,No,No,Yes,No,No
60,7.63,Long,F,No,41,No,No,No,No,Yes,No,No
61,2.09,Long,M,Yes,49,No,No,No,No,No,No,No
62,8.08,Medium,F,No,40,No,No,No,Yes,Yes,No,No
63,3.61,Long,M,Yes,46,No,No,No,No,No,No,No
64,4.17,Medium,M,Yes,20,No,No,No,No,Yes,Yes,No
65,4.36,Long,M,Yes,24,Yes,Yes,No,No,No,Yes,No
66,7.58,Medium,M,No,48,Yes,Yes,No,No,No,Yes,No
67,2.32,Medium,F,No,53,Yes,Yes,No,No,Yes,Yes,Yes
68,9.17,Medium,M,No,42,Yes,Yes,Yes,No,No,Yes,No
69,9.02,Long,F,Yes,35,No,No,No,No,No,No,No
70,6.64,Medium,M,No,21,No,No,No,No,No,No,No
71,5.79,Long,M,Yes,23,No,No,No,No,No,No,No
72,4.22,Medium,F,No,46,Yes,Yes,Yes,No,No,No,Yes
73,8.16,Short,F,Yes,28,No,No,No,Yes,Yes,No,No
74,6.56,Short,M,No,21,No,No,No,No,Yes,No,No
75,9.24,Medium,M,No,54,Yes,Yes,No,No,No,Yes,No
76,3.65,Short,F,No,38,No,No,No,No,No,No,Yes
77,5.83,Long,M,Yes,24,Yes,Yes,No,No,Yes,Yes,Yes
78,7.94,Medium,F,Yes,52,No,No,No,No,No,No,No
79,3.07,Medium,M,No,28,No,No,No,No,No,Yes,Yes
80,5.97,Short,M,Yes,19,Yes,No,No,No,Yes,No,No
81,4.62,Medium,F,No,26,Yes,Yes,No,No,Yes,Yes,No
82,3.17,Long,F,No,21,No,No,No,Yes,Yes,No,No
