Record#,Elapsed_Time,Time_in_Community,Gender,Working,Age,Family,Hobbies,Social_Club,Political,Professional,Religious,Support_Group
1,2.8,Medium,F,Yes,52,No,No,No,No,No,Yes,No
2,3.27,Long,M,Yes,26,No,No,No,No,No,No,Yes
3,4.46,Long,F,No,53,No,No,No,No,No,No,Yes
4,4.81,Medium,F,No,28,No,No,No,No,No,Yes,No
5,6.7,Short,M,No,19,Yes,No,No,No,Yes,No,Yes
6,8.72,Medium,F,Yes,47,Yes,Yes,No,No,No,Yes,No
7,9.09,Short,F,No,50,No,No,No,No,No,Yes,No
8,8.83,Long,F,No,36,No,No,Yes,No,Yes,Yes,Yes
9,2.52,Long,F,No,21,Yes,No,Yes,No,No,Yes,No
10,9.88,Long,M,Yes,24,No,Yes,No,No,No,No,No
11,6.51,Long,F,Yes,41,No,No,No,No,No,No,Yes
12,9.36,Long,F,Yes,33,No,No,No,No,No,Yes,No
13,4.86,Short,F,No,29,No,Yes,No,No,No,Yes,No
14,8.75,Medium,M,No,29,Yes,No,No,No,No,Yes,No
15,4.16,Short,M,No,41,No,No,No,No,No,No,No
16,7.42,Medium,F,Yes,44,No,No,No,No,No,No,No
17,7.55,Long,M,Yes,51,No,Yes,Yes,No,No,No,No
18,4.88,Medium,M,No,45,Yes,Yes,Yes,No,Yes,Yes,No
19,4.78,Medium,F,Yes,50,Yes,Yes,No,No,No,Yes,No
20,6.3,Short,M,No,35,Yes,No,Yes,No,Yes,Yes,No
21,6.48,Medium,M,Yes,32,No,No,No,No,No,No,No
22,5,Long,M,No,56,Yes,No,No,No,Yes,No,No
23,5.46,Long,F,Yes,43,No,Yes,No,No,No,Yes,No
24,3.45,Short,F,No,56,Yes,No,No,No,No,No,No
25,8.84,Medium,M,No,48,No,No,No,No,Yes,Yes,No
26,7.38,Medium,F,Yes,47,No,No,No,Yes,No,No,Yes
27,6.5,Medium,M,No,51,No,No,No,No,Yes,No,No
28,5.86,Medium,M,Yes,50,No,Yes,No,No,No,No,No
29,8.86,Medium,F,No,30,No,No,Yes,No,Yes,Yes,No
30,9.37,Medium,M,Yes,51,No,Yes,No,No,No,Yes,Yes
31,2.25,Long,M,No,20,No,No,No,No,No,Yes,No
32,9.41,Long,F,Yes,49,No,No,No,No,No,No,No
33,5.21,Medium,M,Yes,52,Yes,Yes,No,No,No,Yes,No
34,7.64,Medium,F,No,45,No,No,No,No,No,No,No
35,8.36,Long,M,No,49,No,Yes,No,No,No,Yes,Yes
36,7.58,Short,F,Yes,46,No,No,No,No,No,Yes,No
37,7.68,Short,F,No,56,No,No,No,No,No,No,No
38,8.34,Medium,M,Yes,39,No,No,No,No,No,Yes,No
39,3.36,Medium,F,No,51,No,No,No,No,Yes,No,No
40,3.25,Long,M,No,30,No,No,No,No,No,No,No
41,6.34,Short,M,Yes,34,Yes,No,No,No,No,Yes,No
42,3.64,Long,M,No,50,No,No,No,Yes,Yes,No,No
43,5.57,Long,F,Yes,23,No,No,No,Yes,Yes,No,No
44,6.19,Medium,F,Yes,42,No,No,No,No,Yes,No,No
45,8.98,Medium,F,Yes,30,Yes,Yes,No,Yes,Yes,No,Yes
46,4.52,Long,M,Yes,29,No,No,No,No,No,No,No
47,5.18,Medium,F,Yes,24,No,No,No,No,No,No,No
48,2.63,Short,F,No,49,No,No,No,No,No,Yes,No
49,4.43,Medium,F,No,49,No,No,Yes,No,Yes,No,Yes
50,6.87,Medium,M,Yes,19,No,No,No,No,No,No,No
