Record#,Elapsed_Time,Time_in_Community,Gender,Working,Age,Family,Hobbies,Social_Club,Political,Professional,Religious,Support_Group
1,5.8,Medium,F,No,27,Yes,Yes,No,No,No,Yes,No
2,7.64,Long,M,No,31,No,No,No,No,Yes,No,No
3,2.24,Medium,M,Yes,50,Yes,No,No,No,No,No,No
4,3.03,Long,M,No,26,Yes,Yes,No,No,No,Yes,No
5,9.82,Medium,F,No,50,Yes,Yes,Yes,No,No,Yes,No
6,3.38,Medium,M,No,47,Yes,No,No,No,No,No,No
7,2.61,Medium,M,Yes,50,Yes,Yes,No,No,No,Yes,No
8,6.56,Long,F,Yes,22,No,No,No,No,No,No,No
9,5.93,Medium,F,Yes,55,No,No,No,No,No,No,No
10,7.29,Long,M,No,21,No,No,No,No,Yes,No,No
11,5.4,Short,M,Yes,26,Yes,No,Yes,No,No,Yes,No
12,3.29,Long,M,No,41,No,No,No,No,No,Yes,No
13,7.65,Medium,M,No,53,No,No,No,No,No,Yes,No
14,9.9,Medium,M,Yes,20,No,No,No,No,Yes,No,No
15,6.39,Short,M,Yes,31,No,Yes,No,No,No,No,No
16,6.47,Long,F,Yes,43,No,No,No,No,Yes,Yes,No
17,8.17,Medium,F,No,28,No,Yes,No,Yes,No,Yes,Yes
18,9.96,Long,F,No,25,No,No,No,No,No,No,No
19,3.03,Long,M,Yes,40,No,No,No,No,Yes,No,No
20,4.22,Long,F,Yes,24,No,Yes,No,No,No,Yes,No
21,4.87,Short,F,No,41,Yes,No,No,No,No,No,No
22,8.08,Medium,M,No,21,No,No,No,No,Yes,No,No
23,7.7,Long,F,No,49,No,No,No,No,Yes,No,No
24,6.98,Long,F,No,44,No,No,No,No,No,No,No
25,6.86,Long,M,Yes,41,Yes,Yes,Yes,No,Yes,Yes,Yes
26,3.84,Medium,M,Yes,51,Yes,No,No,No,No,No,No
27,5.92,Long,M,Yes,34,Yes,No,Yes,No,No,No,No
28,8.74,Medium,M,No,38,Yes,Yes,No,No,Yes,Yes,No
29,5.03,Medium,F,No,25,No,No,No,No,Yes,Yes,No
30,3.49,Medium,M,No,48,No,No,No,No,Yes,No,Yes
31,9.69,Long,M,Yes,26,No,Yes,No,No,No,No,No
32,3.02,Medium,M,No,52,No,No,No,No,Yes,No,No
33,5.13,Medium,M,Yes,46,No,No,No,No,No,No,No
34,5.83,Long,M,Yes,24,Yes,Yes,No,No,Yes,Yes,Yes
35,6.05,Long,M,Yes,51,No,No,No,No,Yes,No,No
36,8.67,Short,M,Yes,38,Yes,Yes,No,No,No,Yes,No
37,5.07,Long,F,No,53,No,Yes,No,No,No,Yes,No
38,5.19,Medium,F,No,47,Yes,Yes,No,No,No,No,No
39,2.95,Short,F,No,45,Yes,No,No,Yes,No,No,Yes
40,7.91,Long,M,No,53,Yes,Yes,Yes,No,No,No,No
41,3.67,Long,M,Yes,47,Yes,Yes,Yes,No,No,Yes,No
42,9.3,Short,M,No,34,No,No,No,No,Yes,No,No
43,7.92,Long,F,Yes,37,Yes,Yes,Yes,Yes,No,Yes,Yes
44,2.52,Medium,M,No,25,No,No,No,No,No,No,No
45,3.45,Medium,M,No,47,No,Yes,No,No,No,No,Yes
46,4.32,Medium,M,No,48,No,No,No,No,Yes,No,No
47,7.24,Medium,M,Yes,19,No,No,No,No,No,No,No
48,9.35,Long,F,No,40,No,No,No,No,Yes,No,No
49,4.31,Medium,M,Yes,36,No,No,No,No,No,Yes,Yes
