Record#,Elapsed_Time,Time_in_Community,Gender,Working,Age,Family,Hobbies,Social_Club,Political,Professional,Religious,Support_Group
1,2.85,Medium,M,No,50,Yes,No,No,Yes,No,No,No
2,8.61,Medium,M,No,50,No,No,No,No,No,No,No
3,3.97,Medium,M,Yes,36,No,No,No,No,Yes,No,No
4,2.46,Long,F,No,55,Yes,Yes,Yes,No,No,Yes,No
5,7.79,Medium,F,Yes,35,No,No,No,No,Yes,No,No
6,5.13,Long,F,Yes,25,No,No,No,No,No,No,No
7,8.13,Long,F,No,37,No,Yes,Yes,No,Yes,No,No
8,7.86,Long,F,Yes,38,No,No,No,No,Yes,No,Yes
9,5.55,Short,F,No,42,No,No,No,No,Yes,No,No
10,2.51,Long,F,No,21,No,No,No,No,No,Yes,No
11,8.89,Medium,F,Yes,32,No,No,No,No,Yes,No,No
12,8.15,Medium,M,Yes,40,Yes,No,Yes,No,No,Yes,No
13,8.28,Short,F,Yes,50,No,No,No,No,Yes,No,No
14,8.36,Long,M,No,49,No,Yes,No,No,No,Yes,Yes
15,2.66,Long,F,Yes,31,No,No,No,No,No,No,No
16,3.1,Long,M,Yes,28,Yes,No,No,Yes,Yes,No,No
17,6.39,Short,F,Yes,46,No,No,No,No,No,No,No
18,4.18,Long,M,Yes,21,No,No,No,No,No,No,No
19,7.09,Long,F,No,51,Yes,No,No,No,No,No,No
20,3.48,Short,M,No,28,Yes,No,No,No,No,No,No
21,3.03,Long,M,Yes,40,No,No,No,No,Yes,No,No
22,8.43,Long,M,No,25,No,No,No,No,No,No,Yes
23,8.02,Long,F,No,34,Yes,No,No,No,Yes,No,No
24,2.65,Short,F,No,48,Yes,Yes,Yes,No,No,Yes,No
25,9.95,Long,F,No,38,Yes,Yes,No,No,No,Yes,No
26,4.33,Long,F,No,24,No,No,No,No,No,No,No
27,2.98,Long,M,No,52,Yes,No,No,No,No,No,Yes
28,5.25,Medium,F,Yes,32,No,No,No,Yes,No,No,Yes
29,3.11,Medium,M,Yes,35,No,No,Yes,No,Yes,No,No
30,7.45,Medium,M,No,22,No,No,No,No,No,No,No
31,9.63,Short,M,No,35,No,Yes,Yes,No,No,Yes,No
32,3.08,Long,F,Yes,26,Yes,No,No,Yes,No,No,No
33,7.23,Short,F,No,20,Yes,No,No,No,No,No,No
34,3.45,Short,F,No,54,No,No,No,No,Yes,No,No
35,7.61,Short,M,Yes,43,No,No,No,No,No,No,Yes
36,4.65,Long,F,No,51,No,No,No,No,Yes,Yes,No
37,2.5,Long,F,Yes,49,Yes,Yes,No,No,Yes,Yes,No
38,2.85,Short,F,Yes,51,Yes,No,Yes,No,No,Yes,No
39,9.81,Long,M,Yes,45,No,No,No,No,Yes,Yes,No
40,4.54,Long,M,Yes,21,No,No,No,No,Yes,No,Yes
41,6.63,Short,F,No,39,Yes,No,Yes,No,No,No,No
42,7.08,Medium,F,Yes,31,No,No,No,No,Yes,No,No
43,2.32,Short,M,Yes,40,No,Yes,No,No,No,No,No
44,2.09,Long,M,Yes,49,No,No,No,No,No,No,No
45,2.56,Medium,M,Yes,34,Yes,Yes,No,No,Yes,Yes,No
46,8.36,Long,F,No,37,Yes,Yes,Yes,No,No,Yes,Yes
47,2.8,Long,F,Yes,47,Yes,No,Yes,No,No,Yes,No
48,9.12,Medium,M,No,37,No,No,No,No,No,No,No
49,3.92,Medium,M,Yes,53,No,No,No,No,Yes,No,No
50,8.63,Long,M,No,36,Yes,No,Yes,No,Yes,Yes,Yes
51,2.31,Short,F,No,22,Yes,Yes,Yes,No,No,Yes,No
52,9.44,Short,M,Yes,27,Yes,Yes,Yes,No,No,Yes,No
53,5.8,Medium,F,No,29,No,No,No,Yes,No,Yes,No
54,3.82,Medium,F,Yes,26,No,Yes,Yes,No,No,Yes,No
55,6.5,Medium,M,No,51,No,No,No,No,Yes,No,No
56,3.95,Medium,F,No,47,No,No,No,No,No,No,No
57,7.03,Short,F,Yes,51,No,No,No,No,No,No,No
58,5.07,Long,F,No,53,No,Yes,No,No,No,Yes,No
59,6.06,Long,F,No,47,No,No,No,No,Yes,No,No
60,4.19,Long,F,Yes,34,No,Yes,No,No,No,Yes,No
61,4.43,Medium,F,No,49,No,No,Yes,No,Yes,No,Yes
62,7.25,Medium,F,Yes,52,Yes,No,No,No,No,No,No
63,2.64,Short,F,Yes,35,No,No,No,No,No,No,No
64,4.73,Short,M,Yes,51,Yes,No,No,Yes,No,Yes,No
65,3.47,Long,F,Yes,55,No,No,No,No,Yes,No,Yes
66,9.2,Short,F,No,53,Yes,Yes,No,No,No,Yes,No
67,8.04,Long,M,No,18,No,No,No,No,Yes,No,No
68,6.94,Short,F,Yes,54,No,No,Yes,No,No,No,No
69,3.5,Long,F,No,46,No,Yes,Yes,Yes,Yes,Yes,Yes
70,2.9,Short,F,Yes,54,No,No,No,No,No,No,Yes
71,3.19,Medium,M,No,29,Yes,No,Yes,No,No,Yes,No
72,4.03,Medium,M,No,47,Yes,No,No,No,No,Yes,No
73,9.82,Short,M,No,44,No,No,No,No,No,No,No
74,8.59,Medium,F,Yes,49,No,No,No,No,No,No,No
75,4.46,Long,F,No,53,No,No,No,No,No,No,Yes
76,8.35,Long,M,No,37,No,No,No,No,No,Yes,No
77,8.45,Medium,F,No,53,Yes,Yes,Yes,No,No,Yes,Yes
78,9.33,Long,F,No,41,No,No,No,No,Yes,No,No
79,6.24,Long,F,Yes,51,Yes,No,No,No,No,Yes,Yes
80,5.24,Medium,F,No,35,Yes,No,No,No,Yes,No,No
81,3.82,Long,F,No,29,No,No,No,No,No,No,No
82,3.1,Long,F,Yes,24,Yes,Yes,Yes,No,Yes,Yes,Yes
83,3.88,Short,F,No,34,Yes,No,No,No,Yes,No,No
84,5.55,Medium,M,Yes,45,No,No,No,No,No,No,No
85,2.33,Medium,F,Yes,28,No,Yes,No,No,No,Yes,Yes
86,8.72,Medium,F,Yes,40,No,No,No,No,No,No,No
87,8.05,Long,M,No,33,No,No,No,No,Yes,No,No
88,3.92,Long,M,Yes,23,No,Yes,No,No,No,No,Yes
89,6.95,Long,F,No,50,No,Yes,Yes,No,Yes,Yes,No
90,6.52,Medium,M,Yes,39,Yes,No,No,No,No,Yes,No
91,2.67,Short,M,No,33,No,No,No,No,No,No,No
92,9.07,Medium,M,No,35,Yes,No,Yes,Yes,No,Yes,No
93,4.55,Short,M,Yes,24,No,No,No,No,No,No,No
94,8.31,Medium,M,Yes,40,Yes,No,No,No,Yes,Yes,No
95,2.03,Short,F,Yes,29,Yes,No,No,No,No,No,Yes
96,9.11,Long,F,No,40,Yes,No,No,No,No,Yes,No
97,7.29,Short,F,Yes,26,Yes,No,No,No,No,No,No
98,2.73,Medium,M,Yes,52,Yes,Yes,Yes,No,No,Yes,No
99,3.73,Short,M,Yes,38,No,No,No,No,No,No,No
100,4.66,Medium,M,No,46,No,No,No,No,Yes,No,No
101,9.83,Medium,M,No,29,No,No,No,No,Yes,No,No
102,3.25,Short,F,Yes,50,No,No,No,No,Yes,No,No
103,7.46,Medium,F,No,28,No,No,No,No,No,No,No
104,3.67,Short,M,Yes,53,No,No,No,No,No,No,No
105,3.02,Medium,M,Yes,24,No,No,No,No,No,No,No
106,7.21,Medium,F,Yes,30,No,No,No,No,Yes,No,No
107,2.09,Long,F,No,27,No,Yes,Yes,No,No,Yes,Yes
