Record#,Elapsed_Time,Time_in_Community,Gender,Working,Age,Family,Hobbies,Social_Club,Political,Professional,Religious,Support_Group
1,2.22,Short,M,Yes,51,No,No,No,No,Yes,No,Yes
2,7.83,Long,F,Yes,42,No,Yes,No,No,Yes,No,No
3,2.03,Short,F,Yes,29,Yes,No,No,No,No,No,Yes
4,3.36,Short,M,No,17,Yes,No,No,No,No,No,No
5,7.71,Medium,M,No,22,No,No,No,No,No,Yes,No
6,7.76,Medium,F,No,42,No,Yes,No,No,No,Yes,No
7,3.67,Medium,M,No,42,No,No,No,No,No,No,No
8,8.67,Long,M,Yes,21,No,No,No,No,Yes,Yes,No
9,9.87,Long,M,Yes,28,No,No,No,No,No,No,No
10,6.26,Short,F,Yes,21,No,Yes,No,No,Yes,Yes,No
11,6.13,Medium,F,No,43,No,No,No,No,Yes,No,No
12,7.21,Medium,F,No,38,No,No,No,No,No,Yes,No
13,8.58,Medium,F,No,43,Yes,Yes,No,No,No,No,No
14,9.97,Long,M,Yes,23,No,No,No,No,Yes,No,No
15,8.4,Long,M,No,54,Yes,No,No,No,No,No,No
16,3.49,Medium,M,No,45,No,No,No,Yes,No,No,No
17,7.89,Medium,F,Yes,53,No,No,No,Yes,No,No,No
18,2.81,Short,M,Yes,23,Yes,No,No,No,No,No,Yes
19,4.38,Medium,M,No,30,Yes,Yes,Yes,No,No,Yes,No
20,8.64,Medium,F,Yes,51,Yes,No,No,No,Yes,No,No
21,3.28,Short,M,No,33,No,No,No,No,Yes,No,No
22,9.51,Short,M,No,48,No,No,No,No,No,No,No
23,7.05,Medium,F,Yes,29,No,No,No,No,No,No,No
24,8.83,Long,M,Yes,30,No,Yes,No,No,Yes,No,No
25,3.62,Short,F,Yes,50,No,No,No,Yes,Yes,No,Yes
26,2.99,Short,M,No,31,Yes,Yes,Yes,No,No,Yes,No
27,3.58,Medium,M,Yes,41,No,Yes,No,No,No,Yes,No
28,3.65,Short,F,No,38,No,No,No,No,No,No,Yes
29,4.19,Short,M,No,41,No,No,No,No,Yes,No,No
30,2.38,Short,F,No,20,No,No,No,No,No,No,No
31,4.51,Long,F,No,51,Yes,Yes,No,No,No,Yes,No
32,8.03,Long,M,No,37,Yes,No,No,No,No,Yes,No
33,2.14,Long,F,Yes,24,No,Yes,No,No,Yes,Yes,No
34,2.73,Medium,M,Yes,52,Yes,Yes,Yes,No,No,Yes,No
35,3.67,Long,M,Yes,47,Yes,Yes,Yes,No,No,Yes,No
36,5.21,Medium,M,Yes,44,No,No,No,No,No,No,No
37,6.91,Long,F,Yes,43,No,No,No,No,No,No,No
38,2.3,Short,F,No,21,No,No,No,No,No,No,No
39,7.41,Medium,F,Yes,48,No,No,No,No,Yes,No,No
40,7.48,Long,F,Yes,52,No,No,No,No,No,No,No
41,2.55,Medium,M,Yes,50,No,Yes,Yes,No,No,Yes,No
42,9.24,Medium,M,No,54,Yes,Yes,No,No,No,Yes,No
43,4.08,Long,F,Yes,55,Yes,No,Yes,No,No,Yes,Yes
44,4.75,Short,F,No,44,No,No,Yes,No,Yes,Yes,No
45,6.71,Medium,M,Yes,43,Yes,No,No,Yes,Yes,No,No
46,2.85,Long,F,Yes,46,No,No,No,No,No,No,No
47,9.93,Medium,F,No,19,Yes,Yes,Yes,No,No,No,No
48,6.7,Short,M,No,19,Yes,No,No,No,Yes,No,Yes
49,6.47,Medium,M,No,42,No,No,No,No,No,No,No
50,4.12,Medium,M,Yes,20,Yes,Yes,No,No,No,Yes,No
51,3.66,Medium,M,Yes,45,No,No,No,No,Yes,No,No
52,7.24,Medium,M,Yes,19,No,No,No,No,No,No,No
53,6.15,Long,M,No,34,No,Yes,Yes,No,No,Yes,No
54,6.54,Long,M,No,26,No,Yes,No,No,No,Yes,No
55,6.48,Medium,M,No,52,No,No,No,No,No,No,Yes
56,4.16,Medium,F,No,43,No,No,No,No,No,No,No
57,7.72,Long,M,No,53,Yes,Yes,No,No,No,Yes,Yes
58,5.25,Medium,F,Yes,32,No,No,No,Yes,No,No,Yes
59,2.25,Medium,F,Yes,38,No,No,No,No,No,No,No
60,4.65,Long,F,No,51,No,No,No,No,Yes,Yes,No
61,9.06,Medium,M,No,35,Yes,Yes,Yes,No,No,Yes,Yes
62,8.25,Short,F,Yes,27,No,Yes,Yes,No,No,Yes,No
63,2.32,Medium,F,Yes,44,No,No,No,No,No,No,No
64,2.99,Short,M,No,45,Yes,Yes,Yes,No,No,Yes,No
65,9.41,Long,F,Yes,49,No,No,No,No,No,No,No
66,9.11,Long,F,No,40,Yes,No,No,No,No,Yes,No
67,8.16,Medium,M,No,45,No,No,No,No,Yes,No,No
68,6.75,Medium,F,No,40,No,No,No,No,No,No,No
69,7.2,Long,F,Yes,46,No,No,Yes,Yes,Yes,Yes,Yes
70,9.74,Long,M,Yes,31,No,No,No,No,Yes,No,No
71,5.37,Long,F,No,44,Yes,No,No,No,No,No,No
72,6.45,Medium,M,No,27,No,No,No,No,No,Yes,No
73,4.73,Short,F,No,44,No,No,No,No,No,No,No
74,7.24,Medium,F,Yes,32,No,No,No,No,No,Yes,No
75,4.44,Medium,M,Yes,51,Yes,No,No,No,No,No,No
76,9.33,Long,F,No,41,No,No,No,No,Yes,No,No
77,7.21,Medium,F,Yes,30,No,No,No,No,Yes,No,No
78,9.37,Medium,M,Yes,51,No,Yes,No,No,No,Yes,Yes
79,8.96,Long,F,Yes,27,No,No,No,No,No,No,No
80,9.48,Long,F,Yes,33,Yes,Yes,No,No,No,Yes,Yes
81,8.53,Long,M,No,35,No,No,No,Yes,Yes,No,No
82,7.94,Short,M,No,27,No,No,No,No,No,No,No
83,6.66,Long,F,No,21,Yes,Yes,No,Yes,Yes,Yes,Yes
84,6.23,Medium,F,No,54,No,No,No,No,No,No,No
85,6.85,Short,F,Yes,45,Yes,Yes,Yes,No,No,Yes,No
86,6.95,Long,F,Yes,36,No,No,No,No,No,No,No
87,5.47,Long,F,Yes,42,Yes,No,No,Yes,Yes,No,No
88,3.45,Short,F,No,56,Yes,No,No,No,No,No,No
89,5.02,Long,M,No,54,No,Yes,No,No,No,Yes,No
90,7.47,Medium,F,Yes,20,No,No,No,No,Yes,No,Yes
91,3.8,Medium,M,Yes,22,No,No,No,No,No,No,No
92,9.18,Long,F,No,30,No,No,No,No,No,No,No
93,3.51,Medium,M,Yes,44,No,No,No,No,Yes,No,No
94,4.92,Medium,M,No,55,No,No,No,No,No,Yes,No
95,5.39,Medium,M,No,45,No,No,No,No,No,No,No
96,3.59,Long,F,No,21,No,No,No,No,No,No,No
97,3.24,Long,M,Yes,56,No,Yes,No,No,No,Yes,Yes
98,8.32,Medium,M,Yes,27,No,Yes,No,No,No,No,No
99,4.24,Medium,F,No,42,Yes,Yes,No,No,No,Yes,No
100,8.28,Long,M,Yes,43,Yes,No,No,No,No,No,Yes
101,3.32,Medium,F,No,25,Yes,Yes,No,No,No,Yes,Yes
102,7.52,Short,F,Yes,44,Yes,No,Yes,No,Yes,No,Yes
103,8.73,Short,F,Yes,30,Yes,Yes,No,No,No,Yes,No
104,8.04,Long,M,No,18,No,No,No,No,Yes,No,No
105,7.98,Long,M,No,44,Yes,Yes,No,No,No,Yes,No
106,3.81,Medium,M,Yes,48,No,No,No,No,No,Yes,No
107,5.43,Long,M,No,53,No,No,No,No,No,No,No
108,8.48,Long,M,No,51,No,No,No,No,No,No,No
109,3.75,Medium,M,No,45,Yes,No,No,No,No,No,No
110,5.05,Long,F,No,23,No,No,No,No,Yes,No,No
111,2.29,Long,F,Yes,40,Yes,Yes,Yes,No,No,Yes,No
112,6.29,Medium,M,Yes,41,Yes,Yes,Yes,No,No,Yes,No
113,9.98,Long,M,Yes,22,No,Yes,No,No,No,Yes,No
114,4.91,Medium,F,No,21,No,No,No,No,Yes,No,Yes
115,5.57,Short,M,No,22,No,No,No,No,Yes,No,No
116,4.08,Medium,M,Yes,18,No,No,No,No,No,No,No
117,8.62,Short,M,No,47,No,No,No,No,No,No,No
118,6,Short,M,Yes,34,No,No,No,No,No,No,No
119,9.82,Medium,F,No,51,No,No,No,No,Yes,No,No
120,4.34,Medium,M,Yes,26,No,No,No,No,No,Yes,No
121,7.05,Short,F,No,37,No,No,No,No,Yes,No,No
122,3.25,Short,F,Yes,50,No,No,No,No,Yes,No,No
123,8.22,Long,M,Yes,43,Yes,No,No,No,No,No,No
124,3.43,Medium,F,Yes,43,No,No,No,Yes,No,No,No
125,4.02,Short,M,No,27,Yes,Yes,Yes,No,No,Yes,No
126,2.01,Short,M,Yes,24,No,No,No,No,No,No,No
127,8.32,Medium,F,No,45,No,No,No,No,No,Yes,No
128,8.55,Long,M,No,43,Yes,Yes,No,Yes,Yes,No,Yes
129,9.59,Long,F,Yes,25,No,No,No,No,No,No,No
130,4.87,Short,F,No,45,No,No,Yes,Yes,No,Yes,No
131,3.47,Short,F,Yes,46,No,No,No,No,Yes,Yes,No
132,5.61,Long,F,No,32,Yes,No,No,Yes,No,Yes,No
