Record#,Elapsed_Time,Time_in_Community,Gender,Working,Age,Family,Hobbies,Social_Club,Political,Professional,Religious,Support_Group
1,3.15,Long,F,Yes,28,No,No,No,No,Yes,No,Yes
2,7.89,Short,M,Yes,35,Yes,Yes,Yes,No,No,Yes,No
3,9.67,Long,M,No,52,Yes,Yes,Yes,No,No,Yes,No
4,6.4,Short,F,No,32,No,No,No,No,Yes,No,No
5,2.01,Short,M,Yes,24,No,No,No,No,No,No,No
6,6.01,Medium,F,Yes,25,No,No,No,No,No,No,No
7,6.14,Medium,M,Yes,37,Yes,No,No,No,Yes,No,No
8,7.31,Long,M,No,25,No,No,No,No,No,No,No
9,7.78,Short,F,No,29,No,No,No,No,No,No,Yes
10,9.92,Long,M,Yes,31,No,No,No,No,No,Yes,No
11,2.28,Medium,M,No,50,No,No,No,Yes,Yes,No,No
12,6.85,Medium,F,Yes,27,No,No,No,No,No,No,No
13,2.34,Long,F,Yes,27,No,No,No,No,No,No,No
14,7.08,Long,F,Yes,36,Yes,Yes,No,No,No,Yes,No
15,8.65,Medium,M,Yes,22,No,No,No,No,No,No,No
16,6.15,Medium,F,No,48,No,No,No,No,No,No,No
17,5.54,Long,F,No,34,No,Yes,No,No,No,Yes,No
18,2.62,Long,F,No,42,No,Yes,Yes,No,Yes,Yes,No
19,9.08,Medium,F,Yes,36,Yes,Yes,No,No,Yes,Yes,Yes
20,2.87,Medium,M,No,55,Yes,Yes,Yes,No,No,Yes,No
21,4.03,Medium,M,No,52,No,No,No,No,No,Yes,No
22,3.31,Medium,F,No,48,No,Yes,No,No,No,No,No
23,7.05,Medium,F,Yes,29,No,No,No,No,No,No,No
24,9.96,Medium,M,No,32,No,No,No,No,No,Yes,No
25,9.33,Long,F,Yes,29,No,No,No,No,No,No,No
26,8.81,Medium,M,No,24,No,No,No,Yes,Yes,No,No
27,2.56,Short,M,Yes,26,No,No,No,No,Yes,No,No
28,4.31,Medium,M,No,41,Yes,Yes,No,No,No,Yes,Yes
29,5.92,Medium,M,Yes,28,No,No,No,No,No,No,No
30,7.34,Long,F,Yes,46,Yes,Yes,Yes,No,Yes,Yes,No
31,8.05,Long,M,Yes,24,Yes,Yes,Yes,Yes,No,Yes,No
32,4.64,Short,M,Yes,47,No,Yes,No,Yes,No,No,No
33,4.07,Short,F,Yes,36,No,No,No,No,Yes,No,No
34,6.41,Medium,F,No,27,Yes,Yes,Yes,No,No,Yes,No
35,6.99,Long,F,No,51,Yes,No,No,No,No,Yes,No
36,2.28,Long,M,Yes,37,No,Yes,No,Yes,No,Yes,No
37,6.25,Medium,M,Yes,44,Yes,No,No,No,No,No,No
38,7.19,Short,M,No,41,No,No,No,No,No,Yes,No
39,3.71,Long,F,Yes,42,Yes,Yes,No,No,No,Yes,No
40,8.25,Long,F,Yes,45,Yes,No,No,No,No,Yes,No
41,6.39,Short,M,Yes,31,No,Yes,No,No,No,No,No
42,7.77,Short,M,Yes,42,No,No,No,No,No,No,No
43,3.65,Long,M,Yes,29,No,No,No,No,No,No,No
44,3.41,Short,M,No,27,No,Yes,No,Yes,No,Yes,No
45,3.2,Long,F,Yes,21,No,No,No,No,Yes,Yes,No
46,4.65,Medium,F,No,43,Yes,Yes,Yes,No,Yes,Yes,Yes
47,2.09,Long,F,No,40,Yes,No,No,No,No,Yes,No
48,5.44,Long,F,Yes,41,Yes,No,No,No,No,No,No
49,3.03,Medium,M,No,28,No,No,No,No,No,No,No
50,4.03,Medium,M,No,52,Yes,No,No,No,No,No,No
51,3.03,Medium,M,No,27,Yes,No,No,No,Yes,No,No
52,4.56,Long,F,No,52,No,No,No,No,Yes,Yes,No
53,3.2,Long,F,Yes,51,No,No,No,Yes,Yes,No,No
54,4.27,Long,F,Yes,26,No,No,No,No,No,Yes,No
55,3.19,Long,M,No,45,Yes,Yes,No,No,Yes,Yes,Yes
56,5.21,Medium,F,Yes,31,No,No,No,No,Yes,Yes,No
57,3.6,Medium,M,No,39,No,No,No,No,No,Yes,No
58,9.9,Short,F,No,53,Yes,Yes,Yes,No,No,Yes,No
59,6.93,Medium,M,No,36,Yes,Yes,Yes,No,No,Yes,Yes
60,6.58,Medium,M,No,55,Yes,No,No,No,No,No,No
61,3.3,Long,F,Yes,34,Yes,Yes,No,No,No,Yes,No
62,4.58,Short,M,No,44,Yes,Yes,Yes,No,No,No,No
63,6.66,Medium,F,No,41,No,No,No,No,No,Yes,No
64,7.64,Medium,F,No,45,No,No,No,No,No,No,No
65,9.56,Long,M,No,54,Yes,Yes,No,No,No,Yes,No
66,5.29,Medium,M,No,27,Yes,Yes,No,No,Yes,Yes,No
67,5.27,Short,F,No,52,No,No,No,No,No,No,No
68,6.31,Long,F,Yes,29,Yes,Yes,Yes,No,No,Yes,No
69,6.2,Long,M,Yes,52,No,No,No,No,Yes,No,No
70,4.38,Short,M,Yes,23,No,No,Yes,No,Yes,Yes,No
71,9.65,Long,F,Yes,22,No,No,No,No,Yes,No,No
72,5.25,Long,F,Yes,43,No,No,No,No,Yes,No,No
73,5.68,Short,F,No,41,No,No,No,No,Yes,Yes,No
74,2.86,Short,F,No,47,Yes,Yes,Yes,No,No,Yes,No
75,6.94,Short,F,Yes,54,No,No,No,No,No,No,No
76,8.23,Medium,M,No,42,No,Yes,No,No,Yes,Yes,Yes
77,7.35,Medium,F,Yes,48,No,No,No,No,Yes,No,No
78,2.28,Medium,M,No,31,No,No,No,No,No,No,No
79,7.4,Long,F,Yes,51,Yes,No,No,No,Yes,No,No
80,6.33,Long,M,Yes,28,No,No,No,No,No,Yes,No
81,2.19,Short,F,Yes,24,No,No,No,No,Yes,No,Yes
82,6.82,Medium,M,Yes,29,Yes,Yes,Yes,Yes,Yes,Yes,Yes
83,9.87,Short,F,No,57,No,No,No,No,No,No,Yes
84,6.26,Long,F,Yes,51,No,No,No,No,No,No,No
85,3.74,Short,M,Yes,22,No,No,No,No,No,Yes,Yes
86,5.61,Short,F,No,42,Yes,Yes,Yes,No,Yes,Yes,No
87,3.95,Medium,F,No,47,No,No,No,No,No,No,No
88,9.08,Short,F,No,53,Yes,No,Yes,No,No,Yes,No
89,4.33,Medium,M,Yes,51,No,No,No,No,Yes,Yes,No
90,5.18,Medium,M,Yes,26,Yes,Yes,Yes,No,Yes,Yes,No
91,2.85,Medium,F,Yes,34,Yes,Yes,Yes,No,No,Yes,No
92,4.19,Long,F,Yes,32,Yes,No,No,No,No,No,No
93,9.04,Long,M,No,34,Yes,Yes,No,No,No,Yes,No
94,2.45,Long,F,Yes,37,No,No,No,No,No,No,No
95,9.86,Long,M,Yes,25,Yes,Yes,No,No,No,Yes,Yes
96,9.35,Long,F,No,40,No,No,No,No,Yes,No,No
97,2.43,Short,M,No,43,No,No,No,No,No,No,No
98,2.27,Medium,F,No,20,No,Yes,No,No,No,No,No
99,4.76,Medium,F,Yes,52,Yes,No,Yes,No,Yes,No,No
100,8.84,Medium,F,No,33,No,No,No,No,No,No,No
101,6.54,Long,F,Yes,40,Yes,Yes,Yes,No,No,Yes,No
102,3.65,Medium,M,No,52,No,No,No,No,No,No,No
103,4.33,Medium,M,Yes,30,No,Yes,No,No,No,Yes,No
104,5.35,Long,F,Yes,52,No,No,No,No,Yes,No,No
105,9.47,Short,M,Yes,24,No,No,No,No,No,Yes,No
106,4.31,Long,F,Yes,26,Yes,Yes,No,No,No,Yes,No
107,8.95,Medium,M,Yes,29,No,No,No,No,Yes,No,No
108,7.77,Medium,F,Yes,31,No,No,No,No,Yes,Yes,No
109,2.82,Medium,F,Yes,50,No,No,No,No,Yes,No,No
110,6.98,Long,M,Yes,36,Yes,No,No,No,No,Yes,No
111,4.28,Medium,M,No,40,No,No,No,No,No,No,No
112,5.85,Long,F,Yes,55,No,Yes,Yes,Yes,Yes,Yes,Yes
113,2.19,Long,M,Yes,47,No,No,No,No,Yes,No,No
114,3.87,Long,M,Yes,27,No,No,No,No,Yes,No,No
115,3.14,Long,F,Yes,21,No,No,No,No,No,No,No
116,8.65,Medium,F,No,17,Yes,No,No,No,No,No,No
117,3.7,Short,M,Yes,38,No,No,No,No,No,No,Yes
118,2.77,Medium,F,Yes,51,No,Yes,No,No,No,Yes,No
119,8.63,Long,M,Yes,38,Yes,No,No,No,Yes,Yes,No
120,5.6,Short,F,No,42,No,No,No,Yes,Yes,No,Yes
121,6.05,Medium,F,Yes,56,Yes,No,No,No,Yes,No,No
122,8.2,Medium,F,Yes,28,No,No,No,No,No,No,No
123,9.33,Medium,M,Yes,54,Yes,No,No,No,No,No,No
124,2.26,Medium,F,No,21,Yes,No,No,No,No,Yes,No
125,3.44,Long,M,Yes,24,Yes,Yes,Yes,No,Yes,No,No
126,3.91,Long,M,Yes,23,No,No,No,No,No,Yes,Yes
127,3.43,Long,F,No,19,No,No,No,No,No,Yes,No
128,7.89,Short,F,Yes,27,No,No,No,No,No,No,No
129,8.42,Long,M,No,52,Yes,No,No,No,Yes,Yes,No
130,5.97,Medium,F,Yes,49,Yes,No,Yes,No,Yes,No,No
131,3.19,Medium,F,No,31,No,No,No,No,No,No,No
132,6.6,Long,M,Yes,37,No,No,No,No,No,No,Yes
133,7.54,Long,F,Yes,19,No,No,No,No,Yes,No,No
134,6.14,Long,M,No,35,Yes,No,Yes,No,No,Yes,No
135,9.15,Long,F,Yes,47,Yes,Yes,Yes,No,Yes,Yes,No
136,5.98,Medium,M,No,38,No,No,No,No,No,Yes,No
137,7.41,Long,M,Yes,50,No,No,No,No,Yes,No,No
138,2.94,Long,F,Yes,28,Yes,No,Yes,No,No,Yes,No
139,4.64,Short,M,Yes,47,No,No,No,No,Yes,No,No
140,2.89,Medium,F,Yes,27,Yes,No,No,No,Yes,Yes,No
141,7.99,Medium,F,No,28,No,No,Yes,No,No,Yes,Yes
142,5.41,Long,F,Yes,53,No,No,No,No,Yes,No,No
143,8.77,Short,M,Yes,42,No,Yes,Yes,No,No,Yes,No
144,2.85,Short,F,No,31,Yes,Yes,Yes,No,No,Yes,No
145,3.57,Medium,M,Yes,34,No,Yes,No,No,Yes,Yes,No
146,8.57,Long,M,Yes,27,Yes,No,No,Yes,Yes,No,No
147,4.83,Short,F,No,43,Yes,Yes,No,No,No,Yes,No
148,6.24,Long,F,Yes,29,Yes,Yes,Yes,No,No,Yes,No
149,2.16,Long,F,No,37,No,No,No,No,No,No,No
150,6.26,Long,M,No,32,No,No,No,No,No,Yes,No
151,3.67,Medium,M,Yes,48,Yes,Yes,Yes,No,No,Yes,No
152,5.09,Long,F,No,50,No,No,No,No,No,Yes,No
153,8.19,Long,F,Yes,21,No,No,No,No,No,No,No
154,8.08,Medium,M,No,21,No,No,No,No,Yes,No,No
155,6.85,Short,F,Yes,45,Yes,Yes,Yes,No,No,Yes,No
156,6.49,Medium,M,Yes,39,No,No,No,Yes,No,Yes,No
157,5.72,Medium,F,Yes,44,No,No,No,No,No,Yes,Yes
158,6.06,Long,F,No,47,No,No,No,No,Yes,No,No
159,3.6,Medium,M,No,52,Yes,No,Yes,No,Yes,Yes,No
160,9.24,Medium,F,Yes,23,No,No,No,No,No,No,No
161,3.1,Long,F,Yes,24,Yes,Yes,Yes,No,Yes,Yes,Yes
162,7.05,Medium,F,Yes,27,No,No,No,No,Yes,No,No
163,5.09,Long,M,Yes,26,No,No,No,No,Yes,No,No
164,3.21,Medium,M,No,30,No,No,No,No,No,Yes,No
165,6.84,Long,F,Yes,45,No,No,No,No,No,Yes,No
166,7.72,Long,F,Yes,20,No,No,No,No,No,No,No
167,4.83,Medium,F,Yes,38,Yes,No,No,No,No,No,No
168,3.26,Long,M,No,28,No,No,No,Yes,No,No,No
169,5.7,Medium,M,No,24,Yes,Yes,No,No,Yes,No,No
170,4.45,Medium,M,Yes,19,Yes,Yes,No,No,No,Yes,No
171,5.65,Short,F,Yes,47,Yes,Yes,No,No,Yes,No,No
172,3.58,Medium,M,Yes,31,Yes,No,No,No,No,No,Yes
173,2.71,Short,M,Yes,26,No,No,No,No,No,No,No
174,9.46,Short,F,Yes,34,No,Yes,No,Yes,No,Yes,Yes
175,2.47,Short,M,No,21,No,No,No,No,No,No,No
176,6.92,Long,F,Yes,42,Yes,Yes,No,No,No,Yes,No
177,9.3,Long,M,Yes,40,No,No,No,No,No,No,No
178,8.31,Long,F,Yes,44,No,No,Yes,No,No,No,No
179,2.12,Medium,M,Yes,51,No,Yes,Yes,No,No,Yes,No
180,9.35,Medium,M,Yes,53,No,No,No,No,Yes,Yes,Yes
181,2.21,Medium,F,Yes,43,Yes,No,No,No,No,No,No
182,5.37,Medium,M,Yes,30,No,Yes,No,No,No,Yes,No
183,4.73,Long,F,Yes,27,No,No,No,No,No,No,No
184,6.27,Long,M,Yes,52,No,No,No,No,Yes,No,No
185,6.38,Short,F,Yes,47,No,Yes,Yes,No,No,Yes,Yes
186,2.81,Medium,F,Yes,37,Yes,No,No,No,No,No,No
187,2.6,Long,M,Yes,36,Yes,Yes,Yes,No,No,No,No
188,6.33,Long,M,Yes,22,No,No,No,No,No,No,No
189,4.42,Long,M,No,34,No,No,No,No,No,No,No
190,8.44,Medium,M,No,18,Yes,Yes,Yes,No,No,Yes,Yes
191,8.49,Long,M,No,36,No,No,No,No,Yes,No,No
192,7.13,Medium,M,Yes,46,No,No,No,No,No,No,No
193,4.57,Long,F,Yes,23,Yes,Yes,No,Yes,No,No,Yes
194,3.51,Long,M,No,27,No,No,No,No,No,No,No
195,3.46,Long,F,Yes,37,Yes,No,No,No,Yes,No,No
196,8.78,Long,M,Yes,30,No,No,No,No,Yes,No,No
197,8.37,Long,F,No,22,No,Yes,No,No,No,Yes,No
198,8.08,Medium,M,No,20,No,No,No,No,No,No,No
199,9.83,Medium,M,Yes,44,No,No,No,No,No,No,No
200,4.81,Long,F,No,30,No,No,No,No,No,No,No
201,5.68,Long,F,No,49,Yes,Yes,No,No,No,Yes,No
202,7.11,Medium,F,Yes,30,Yes,Yes,Yes,No,No,Yes,No
203,9.45,Medium,M,No,47,No,Yes,No,No,Yes,Yes,Yes
204,7.52,Short,F,Yes,44,Yes,No,Yes,No,Yes,No,Yes
205,3.92,Long,M,Yes,44,No,No,No,No,No,No,No
206,3.43,Medium,F,Yes,30,Yes,Yes,No,No,No,Yes,No
207,3.34,Short,M,No,17,No,No,No,No,No,No,No
208,6.56,Medium,F,No,33,Yes,No,No,No,Yes,Yes,No
209,9.19,Long,F,No,30,No,No,No,No,No,No,No
210,4.83,Medium,M,No,25,No,No,No,No,No,No,No
211,6.57,Long,M,Yes,37,Yes,No,Yes,No,No,Yes,No
212,7.34,Long,M,No,39,No,No,No,No,No,Yes,No
213,6.85,Medium,F,No,41,No,No,No,No,No,No,No
214,3.63,Long,M,Yes,43,Yes,Yes,No,No,No,Yes,No
215,9.44,Short,M,Yes,27,Yes,Yes,Yes,No,No,Yes,No
216,3.92,Long,M,Yes,23,No,Yes,No,No,No,No,Yes
217,3.43,Long,F,Yes,37,No,No,No,No,No,No,No
218,3.09,Long,M,Yes,27,No,No,No,No,Yes,No,No
219,2.89,Long,M,Yes,36,No,No,No,No,No,Yes,No
220,6.57,Medium,M,No,22,No,No,No,No,No,No,No
221,3.44,Long,F,No,48,Yes,No,No,Yes,No,Yes,Yes
222,6.13,Medium,F,No,43,No,No,No,No,Yes,No,No
223,2.4,Medium,F,No,53,No,No,Yes,No,No,Yes,No
224,6.79,Long,M,No,56,No,No,No,No,No,No,No
225,4.33,Long,F,No,24,No,No,No,No,No,No,No
226,6.84,Medium,F,Yes,48,Yes,No,No,No,No,No,Yes
227,7.02,Short,F,No,32,Yes,No,No,Yes,No,No,Yes
228,3.33,Medium,F,No,27,No,No,No,No,Yes,No,No
229,7.35,Long,M,No,24,No,No,No,No,No,Yes,No
230,4.73,Short,F,No,44,No,No,No,No,No,No,No
231,4.18,Medium,F,No,38,No,No,No,Yes,No,Yes,No
232,7.03,Medium,F,Yes,34,No,Yes,No,No,No,Yes,No
233,3.77,Short,F,Yes,49,Yes,Yes,Yes,No,No,Yes,Yes
234,4.98,Medium,F,No,21,No,Yes,No,No,No,Yes,No
235,6.12,Medium,M,Yes,39,No,No,No,No,Yes,Yes,No
236,8.12,Medium,M,Yes,40,Yes,No,No,No,Yes,No,No
237,4.89,Short,M,Yes,48,Yes,No,No,No,Yes,No,Yes
238,6.92,Short,M,No,28,Yes,Yes,Yes,No,No,Yes,No
239,8.49,Long,M,Yes,22,No,No,No,No,No,No,No
240,9.57,Long,M,Yes,34,Yes,No,No,No,No,Yes,Yes
241,4.31,Long,M,No,36,Yes,Yes,Yes,No,Yes,Yes,No
242,7.6,Short,F,Yes,44,No,Yes,Yes,Yes,Yes,Yes,No
243,2.3,Long,F,No,38,No,No,No,No,Yes,Yes,Yes
244,6.9,Medium,F,Yes,43,No,No,No,No,No,Yes,No
245,5.01,Short,M,Yes,22,Yes,Yes,Yes,No,Yes,Yes,Yes
246,6.24,Long,F,Yes,51,Yes,No,No,No,No,Yes,Yes
247,5.51,Long,F,No,29,No,Yes,No,No,No,No,No
248,3.98,Medium,M,No,32,Yes,No,No,No,Yes,No,No
249,8.19,Long,M,No,51,Yes,Yes,No,No,Yes,Yes,No
250,3.13,Long,M,Yes,55,No,Yes,No,No,Yes,No,No
251,7.67,Long,F,Yes,32,No,No,No,No,No,No,No
252,2.88,Long,F,Yes,29,Yes,Yes,No,No,No,Yes,No
253,2.48,Long,F,No,45,Yes,Yes,No,No,No,Yes,No
254,4.09,Long,M,Yes,23,No,No,No,No,No,No,No
255,8.62,Short,M,No,48,Yes,No,No,No,No,Yes,No
256,5.83,Short,M,Yes,23,Yes,No,Yes,Yes,No,Yes,No
257,6.56,Short,M,No,21,No,No,No,No,Yes,No,No
258,2.58,Short,M,Yes,27,No,No,No,No,Yes,No,No
259,5.83,Short,M,Yes,20,No,No,Yes,No,Yes,No,No
260,9.62,Long,M,Yes,21,No,Yes,Yes,Yes,Yes,Yes,Yes
261,3.01,Short,F,No,54,Yes,No,No,No,No,No,No
262,9.68,Medium,M,Yes,44,No,No,No,No,No,No,No
263,2.08,Medium,M,Yes,51,No,No,No,No,No,No,No
264,6.38,Short,F,Yes,24,No,No,No,No,No,No,No
265,9.56,Long,M,No,27,No,No,No,Yes,No,No,Yes
266,8.65,Medium,M,No,51,No,No,No,No,No,No,No
267,2.61,Medium,F,Yes,34,Yes,Yes,Yes,No,Yes,Yes,No
268,3.93,Medium,M,No,20,No,No,No,Yes,Yes,No,No
269,8.06,Short,F,Yes,39,Yes,Yes,No,No,No,Yes,No
270,6.57,Long,M,No,19,Yes,No,No,No,No,Yes,No
271,9.5,Long,F,Yes,32,No,No,No,No,No,No,No
272,7.1,Long,M,No,46,No,Yes,Yes,No,No,Yes,No
273,8.59,Medium,F,Yes,49,No,No,No,No,No,No,No
274,3.04,Medium,M,No,33,Yes,No,No,No,No,No,Yes
275,8.81,Medium,F,Yes,28,No,Yes,No,No,Yes,No,No
276,6.91,Long,F,Yes,43,No,No,No,No,No,No,No
277,4.34,Long,F,No,53,Yes,Yes,No,No,No,Yes,Yes
278,4.86,Medium,F,Yes,27,No,No,No,No,No,No,No
279,5.86,Long,F,Yes,56,No,No,No,No,No,No,No
280,6.66,Medium,M,No,51,No,No,No,No,Yes,No,Yes
281,9.48,Medium,F,Yes,21,No,No,No,No,No,Yes,No
282,8.36,Medium,M,Yes,38,No,No,No,No,No,No,Yes
283,7.58,Long,F,No,20,No,No,No,No,Yes,No,No
284,7.18,Long,F,Yes,46,No,Yes,No,No,No,Yes,No
285,5.07,Long,M,Yes,30,Yes,No,No,No,No,No,No
286,2.81,Medium,F,Yes,31,No,No,No,No,No,No,Yes
287,7.74,Medium,F,No,40,No,No,No,No,Yes,Yes,No
288,2.67,Long,F,Yes,32,No,No,No,No,No,No,No
289,6.13,Long,M,No,34,Yes,Yes,No,No,No,Yes,No
290,8.79,Medium,F,Yes,36,No,No,No,No,Yes,No,No
291,3.01,Long,M,No,48,Yes,Yes,Yes,No,No,Yes,No
292,3.85,Medium,F,Yes,24,Yes,Yes,No,No,No,No,No
293,6.42,Long,M,Yes,38,No,No,No,No,No,No,Yes
294,8.02,Short,M,Yes,33,Yes,No,Yes,No,Yes,No,No
295,7.73,Long,F,No,32,Yes,Yes,No,No,Yes,Yes,No
296,2.24,Long,M,Yes,47,Yes,No,No,No,No,No,No
297,4.61,Medium,M,No,23,No,Yes,No,No,No,Yes,No
298,3.41,Medium,M,No,47,Yes,No,No,No,No,Yes,Yes
299,3.03,Long,M,Yes,40,No,No,No,No,Yes,No,No
300,7.61,Short,M,Yes,43,No,No,No,No,No,No,Yes
301,5.62,Medium,F,Yes,48,Yes,No,No,No,Yes,Yes,No
302,2.75,Long,M,No,48,Yes,Yes,Yes,No,No,Yes,No
303,3.57,Long,F,No,49,No,No,No,No,No,No,No
304,2.56,Long,M,No,49,No,No,No,No,Yes,No,No
305,6.45,Long,F,Yes,53,No,No,No,No,No,No,No
306,8.6,Medium,M,No,21,No,No,No,No,No,No,No
307,8.61,Long,M,No,55,No,Yes,Yes,No,No,Yes,No
308,3.57,Long,F,No,17,No,No,No,No,No,No,Yes
309,4.69,Medium,M,No,21,Yes,No,No,No,No,No,No
310,3.15,Short,F,No,36,Yes,No,No,No,No,No,No
311,2.39,Medium,M,No,21,No,No,No,No,No,No,No
312,8.41,Medium,M,No,20,No,No,No,No,No,No,No
313,6.86,Medium,F,No,45,No,No,No,No,No,No,No
314,6.43,Long,M,Yes,34,No,No,No,No,No,No,No
315,6.01,Medium,M,Yes,36,No,Yes,No,No,Yes,Yes,No
316,4.18,Long,M,Yes,21,No,No,No,No,No,No,No
317,5.81,Long,F,No,42,Yes,Yes,Yes,No,No,Yes,No
318,8.29,Long,M,Yes,47,No,No,No,No,Yes,No,No
319,6.72,Medium,F,No,41,No,No,Yes,No,No,Yes,Yes
320,9.51,Short,M,No,48,No,No,No,No,No,No,No
