Record#,Elapsed_Time,Time_in_Community,Gender,Working,Age,Family,Hobbies,Social_Club,Political,Professional,Religious,Support_Group
1,6.19,Short,M,Yes,39,No,No,No,No,Yes,No,No
2,6.88,Long,M,No,42,Yes,Yes,Yes,No,Yes,Yes,Yes
3,3.58,Long,F,No,21,No,No,No,No,No,Yes,No
4,2.28,Medium,M,No,50,No,No,No,Yes,Yes,No,No
5,5.08,Medium,F,No,26,Yes,No,Yes,No,Yes,Yes,Yes
6,8.8,Long,F,No,53,Yes,Yes,No,No,No,Yes,No
7,4.57,Medium,M,Yes,47,No,No,No,No,Yes,No,No
8,6.13,Short,F,No,45,No,Yes,No,No,Yes,No,Yes
9,2.81,Short,M,No,47,Yes,No,No,No,No,No,No
10,2.37,Medium,F,No,22,No,No,No,No,No,No,No
11,3.76,Medium,F,Yes,35,Yes,No,No,No,No,No,No
12,3.2,Short,F,No,35,Yes,No,No,No,No,Yes,No
13,2.65,Medium,F,Yes,31,Yes,No,No,No,No,No,No
14,6.47,Long,M,Yes,42,Yes,No,No,No,Yes,No,No
15,8.47,Long,M,No,26,Yes,No,No,No,No,No,No
16,5.49,Long,F,Yes,38,No,No,No,No,No,No,No
17,4.52,Long,M,Yes,29,No,No,No,No,No,No,No
18,7.67,Long,F,Yes,23,No,No,No,No,No,No,No
19,3.38,Medium,M,No,47,Yes,No,No,No,No,No,No
20,9.1,Medium,M,No,32,No,No,No,No,No,Yes,No
21,4.31,Long,M,Yes,51,No,No,Yes,Yes,No,Yes,No
22,4.1,Long,M,No,20,No,No,No,No,No,Yes,No
23,8.34,Long,M,Yes,46,No,No,No,No,Yes,No,No
24,5.08,Medium,F,No,34,No,No,No,No,Yes,No,No
25,7.63,Long,M,No,19,No,Yes,No,No,No,Yes,No
26,4.19,Long,F,Yes,34,No,Yes,No,No,No,Yes,No
27,3.32,Long,F,No,52,No,No,No,No,Yes,No,No
28,8.62,Long,M,No,37,No,Yes,Yes,Yes,Yes,Yes,Yes
29,2.82,Medium,F,No,22,Yes,No,No,No,Yes,Yes,Yes
30,4.96,Long,F,Yes,24,No,Yes,No,No,Yes,Yes,Yes
31,6.16,Medium,M,No,28,Yes,No,No,No,No,Yes,No
32,8.36,Long,M,No,49,No,Yes,No,No,No,Yes,Yes
33,9.41,Long,F,Yes,49,No,No,No,No,No,No,No
34,3.78,Medium,M,No,34,No,No,No,No,Yes,No,No
35,7.1,Short,M,No,54,Yes,Yes,Yes,No,No,Yes,No
36,8.93,Long,M,Yes,44,No,No,No,No,No,Yes,No
37,6.52,Medium,F,No,34,Yes,Yes,Yes,No,No,Yes,No
38,4.98,Medium,F,No,41,No,No,No,No,No,Yes,No
39,7.35,Long,F,Yes,51,No,No,No,No,No,Yes,Yes
40,5.27,Short,F,No,22,No,No,No,No,No,No,No
41,9.74,Short,M,No,41,Yes,No,No,No,No,Yes,Yes
42,8.25,Long,F,Yes,45,Yes,No,No,No,No,Yes,No
43,5.92,Short,F,No,38,Yes,No,Yes,No,No,No,No
44,9.64,Medium,F,No,51,Yes,Yes,No,No,No,Yes,No
45,6.25,Long,M,No,33,No,No,No,No,No,No,No
46,6.42,Short,F,Yes,51,No,No,No,No,No,Yes,No
47,3.03,Medium,F,Yes,26,Yes,Yes,Yes,No,Yes,No,Yes
48,9.87,Long,M,Yes,28,No,No,No,No,No,No,No
49,3.27,Medium,F,No,29,Yes,Yes,No,No,No,Yes,Yes
50,5.06,Medium,M,Yes,46,Yes,Yes,No,No,No,Yes,Yes
51,2.51,Long,F,No,54,No,Yes,No,No,Yes,Yes,No
52,7.29,Long,M,No,21,No,No,No,No,Yes,No,No
53,6.4,Medium,M,No,23,No,No,No,No,No,No,No
54,5.33,Short,M,Yes,45,No,Yes,Yes,No,Yes,Yes,Yes
55,5.24,Medium,F,No,31,No,No,No,No,No,Yes,Yes
56,2.91,Long,F,No,42,Yes,Yes,No,No,Yes,Yes,No
57,3.19,Medium,M,Yes,38,Yes,Yes,No,No,No,Yes,No
58,5.72,Medium,F,Yes,44,No,No,No,No,No,Yes,Yes
59,3.43,Long,F,Yes,40,Yes,No,No,No,No,Yes,Yes
60,3.95,Medium,M,Yes,54,No,No,No,No,No,No,No
61,2.81,Medium,F,Yes,47,No,Yes,Yes,No,No,Yes,No
62,8.44,Medium,M,No,18,Yes,Yes,Yes,No,No,Yes,Yes
63,5.25,Long,F,Yes,43,No,No,No,No,Yes,No,No
64,6.22,Short,F,Yes,18,No,No,No,No,Yes,No,No
65,7.72,Short,M,No,26,Yes,No,No,No,No,No,No
66,5.3,Long,M,No,22,No,No,No,No,No,No,No
67,3.87,Medium,M,No,21,No,No,No,No,No,No,No
68,3.71,Medium,F,Yes,30,Yes,No,No,No,No,No,No
69,6.4,Short,F,No,32,No,No,No,No,Yes,No,No
70,9.13,Long,F,Yes,40,Yes,No,No,No,No,No,No
71,3.08,Long,M,Yes,29,Yes,Yes,No,No,No,Yes,No
72,3.73,Medium,F,No,29,No,No,No,No,No,No,No
73,9.73,Long,M,No,51,No,No,No,No,No,Yes,Yes
74,8.23,Medium,M,Yes,39,No,No,No,No,No,Yes,No
75,5.07,Long,M,Yes,29,No,No,No,No,Yes,Yes,No
76,6.22,Medium,F,Yes,38,Yes,Yes,No,No,Yes,Yes,No
77,9.56,Long,M,No,54,Yes,Yes,No,No,No,Yes,No
78,6.5,Medium,M,No,25,Yes,Yes,No,No,No,Yes,Yes
79,7.96,Medium,F,Yes,50,Yes,No,Yes,No,No,Yes,Yes
80,10.03,Medium,F,No,34,No,No,No,No,No,Yes,No
81,8.59,Medium,F,Yes,49,No,No,No,No,No,No,No
82,8.68,Medium,M,No,28,No,No,No,No,Yes,No,Yes
83,7.12,Long,M,No,42,Yes,No,No,Yes,Yes,No,No
84,3.27,Long,M,Yes,26,No,No,No,No,No,No,Yes
85,7.3,Long,M,Yes,52,No,No,No,No,No,No,Yes
86,4.29,Short,M,Yes,23,No,No,No,No,No,No,No
87,6.36,Short,F,Yes,23,Yes,Yes,Yes,Yes,Yes,Yes,No
88,3.63,Medium,M,Yes,27,No,Yes,No,No,Yes,No,Yes
89,4.24,Medium,F,No,42,Yes,Yes,No,No,No,Yes,No
90,3.29,Medium,F,No,27,Yes,No,No,No,No,No,No
91,8.78,Medium,M,No,22,No,No,No,No,No,No,No
92,8.37,Long,M,Yes,56,Yes,No,Yes,No,No,No,No
93,8.67,Medium,F,Yes,48,Yes,Yes,Yes,No,No,Yes,No
94,5.94,Medium,F,No,30,Yes,No,No,No,No,No,No
95,5.93,Long,M,Yes,38,Yes,No,No,No,No,No,No
96,4.57,Short,F,Yes,24,No,No,No,No,No,No,No
97,8.89,Short,F,Yes,31,No,No,No,No,No,No,No
98,2.25,Medium,F,No,52,No,No,No,No,Yes,No,Yes
99,3.79,Medium,M,Yes,49,No,Yes,Yes,No,No,Yes,No
100,3.71,Long,F,Yes,42,Yes,Yes,No,No,No,Yes,No
101,5.79,Medium,F,No,29,No,Yes,No,No,No,Yes,Yes
102,3.78,Medium,M,Yes,52,No,No,No,No,No,Yes,No
103,3.44,Long,F,No,48,Yes,No,No,Yes,No,Yes,Yes
104,8.4,Long,F,No,37,No,No,No,No,No,No,No
105,8.03,Long,M,No,37,Yes,No,No,No,No,Yes,No
106,2.53,Short,M,No,36,No,No,No,No,No,No,No
107,4.31,Short,F,Yes,42,No,No,No,No,No,No,No
108,4.19,Long,F,Yes,32,Yes,No,No,No,No,No,No
109,3.36,Long,F,No,27,No,No,No,No,No,No,No
110,5.96,Long,M,Yes,32,No,Yes,No,Yes,Yes,Yes,No
111,5.58,Long,F,No,54,Yes,No,No,No,No,No,No
112,2.7,Medium,F,Yes,32,No,No,No,No,No,No,No
113,5.24,Short,M,Yes,24,Yes,No,No,No,No,Yes,No
114,3.29,Medium,F,No,52,Yes,Yes,Yes,No,No,Yes,No
115,8.84,Long,M,Yes,30,No,No,No,No,No,No,No
116,6.52,Medium,M,Yes,39,Yes,No,No,No,No,Yes,No
117,8.01,Long,F,No,32,No,No,No,No,Yes,No,No
118,3.89,Long,F,Yes,35,No,No,No,No,No,Yes,No
119,9.97,Long,F,No,20,No,No,No,No,Yes,No,No
120,2.32,Short,F,Yes,30,No,No,No,No,No,Yes,No
121,2.55,Long,F,No,41,No,No,No,No,No,No,No
122,7.32,Long,F,Yes,48,Yes,No,No,No,No,No,No
123,2.61,Medium,M,Yes,50,Yes,Yes,No,No,No,Yes,No
124,7.19,Short,M,No,41,No,No,No,No,No,Yes,No
125,2.47,Medium,M,No,26,No,No,No,No,No,No,Yes
126,2.96,Long,M,Yes,45,No,No,No,No,No,No,Yes
127,9.66,Medium,M,No,42,No,No,No,No,No,No,No
128,6.38,Medium,M,No,24,No,Yes,No,No,No,Yes,No
129,5.03,Medium,F,No,25,No,No,No,No,Yes,Yes,No
130,8.41,Medium,M,No,20,No,No,No,No,No,No,No
131,3.5,Long,M,No,31,No,No,Yes,Yes,Yes,No,No
132,3.38,Long,M,No,51,No,No,Yes,No,No,No,No
133,8.19,Medium,M,No,45,No,No,No,No,Yes,Yes,No
134,2.55,Long,F,No,33,No,No,No,No,No,No,No
135,2.4,Long,F,Yes,27,Yes,No,No,No,No,No,No
136,3.75,Medium,M,No,45,Yes,No,No,No,No,No,No
137,9.49,Long,M,No,27,Yes,No,No,Yes,Yes,No,No
138,5.74,Long,F,No,49,Yes,No,No,No,No,Yes,No
139,10.08,Medium,F,No,34,No,No,No,No,Yes,No,No
