Record#,Elapsed_Time,Time_in_Community,Gender,Working,Age,Family,Hobbies,Social_Club,Political,Professional,Religious,Support_Group
1,4.77,Short,M,No,28,Yes,Yes,Yes,No,No,Yes,No
2,8.08,Short,F,Yes,35,Yes,No,No,No,No,Yes,No
3,3.77,Medium,M,No,19,No,No,No,No,Yes,No,No
4,5.67,Short,F,Yes,40,No,No,No,No,No,No,Yes
5,8.07,Long,F,No,25,Yes,Yes,No,No,Yes,Yes,No
6,8.79,Medium,F,Yes,36,No,No,No,No,Yes,No,No
7,5.63,Long,M,Yes,42,No,Yes,Yes,No,Yes,Yes,No
8,8.07,Long,F,Yes,48,Yes,Yes,Yes,No,No,No,Yes
9,7.46,Long,M,No,39,Yes,Yes,No,No,No,Yes,No
10,6.86,Medium,M,No,38,No,No,No,No,No,No,Yes
11,3.74,Medium,M,No,32,No,No,No,Yes,No,No,No
12,5.98,Short,M,Yes,55,No,No,No,No,No,No,No
13,7.28,Medium,F,Yes,28,No,No,No,Yes,Yes,No,Yes
14,2.9,Long,F,No,45,No,Yes,No,No,Yes,Yes,No
15,4.28,Short,M,No,50,No,Yes,No,No,No,Yes,No
16,5.93,Long,M,Yes,38,Yes,No,No,No,No,No,No
17,2.3,Long,F,No,37,No,No,No,No,Yes,No,No
18,5.86,Medium,M,No,38,Yes,No,No,No,Yes,No,No
19,8.51,Long,M,Yes,52,No,No,No,No,No,No,No
20,7.42,Medium,F,Yes,44,No,No,No,No,No,No,No
21,9.34,Medium,M,No,32,No,No,No,No,Yes,No,No
22,2.54,Short,M,No,35,No,No,No,No,No,Yes,No
23,6.34,Short,F,No,38,No,Yes,No,No,No,No,No
24,5.02,Short,M,Yes,25,Yes,No,No,No,Yes,No,No
25,4.56,Long,M,Yes,48,No,No,No,No,No,No,No
26,9.37,Long,M,Yes,46,Yes,Yes,Yes,No,Yes,Yes,No
27,3.31,Short,M,No,17,No,No,No,No,No,No,Yes
28,5.97,Medium,F,Yes,27,Yes,Yes,Yes,No,Yes,Yes,Yes
29,5.13,Short,M,Yes,25,Yes,No,No,No,No,No,No
30,6.84,Medium,F,Yes,48,Yes,No,No,No,No,No,Yes
31,5.96,Long,M,Yes,32,No,Yes,No,Yes,Yes,Yes,No
32,6.83,Medium,M,Yes,40,Yes,Yes,No,No,No,Yes,No
33,3.36,Short,M,No,17,Yes,No,No,No,No,No,No
34,7.52,Medium,F,No,51,No,No,Yes,Yes,No,Yes,No
35,4.8,Long,F,No,32,Yes,Yes,Yes,No,No,Yes,No
36,3.08,Long,M,Yes,42,No,Yes,Yes,Yes,Yes,Yes,Yes
37,3.15,Short,F,No,36,Yes,No,No,No,No,No,No
38,6.97,Long,M,Yes,30,No,No,No,No,Yes,No,No
39,4.78,Medium,M,No,51,Yes,Yes,Yes,No,No,Yes,No
40,6.33,Long,M,Yes,28,No,No,No,No,No,Yes,No
41,9.24,Long,M,No,39,No,No,No,No,Yes,No,No
42,6.86,Short,F,No,41,No,No,No,No,No,Yes,Yes
43,3.91,Medium,F,No,48,Yes,No,No,No,No,No,No
44,6.8,Long,F,Yes,43,No,No,No,Yes,Yes,No,No
45,2.34,Long,M,Yes,30,Yes,Yes,Yes,No,No,Yes,Yes
46,7.45,Medium,M,No,22,Yes,No,No,No,No,No,No
47,5.44,Long,F,Yes,52,Yes,No,No,Yes,No,No,Yes
48,2.57,Long,F,Yes,42,Yes,No,No,No,Yes,No,No
49,6.69,Medium,F,No,26,Yes,No,No,No,No,No,No
50,8.15,Medium,M,No,23,Yes,Yes,No,No,No,Yes,No
51,3.7,Short,M,Yes,38,No,No,No,No,No,No,Yes
52,3.29,Long,F,Yes,55,No,Yes,No,No,No,No,No
53,2.62,Long,F,Yes,31,No,No,No,No,Yes,No,No
54,2.88,Short,F,Yes,55,Yes,Yes,No,No,No,Yes,No
55,9.74,Medium,M,No,32,No,No,No,No,No,No,No
56,6.79,Medium,F,No,23,No,No,No,No,No,No,No
57,3.82,Medium,M,No,28,No,No,No,No,No,No,No
58,4.83,Short,F,No,43,Yes,Yes,No,No,No,Yes,No
59,7.8,Medium,F,Yes,38,No,No,No,No,No,No,No
60,5.43,Medium,M,Yes,41,No,Yes,No,No,No,Yes,No
61,3.54,Short,F,No,34,No,Yes,No,No,Yes,No,No
62,2.07,Long,F,Yes,27,No,No,No,No,No,No,No
63,5.89,Medium,M,No,47,No,No,No,Yes,No,No,No
64,5.59,Medium,M,Yes,17,No,No,No,No,No,No,No
65,7.16,Medium,F,No,38,No,No,No,No,No,No,Yes
66,7.07,Medium,M,Yes,25,No,No,No,No,No,No,No
67,8.23,Medium,M,Yes,36,Yes,Yes,Yes,No,No,Yes,No
68,8.84,Long,M,Yes,30,No,No,No,No,No,No,No
69,4.31,Medium,M,No,41,Yes,Yes,No,No,No,Yes,Yes
70,2.89,Medium,M,Yes,28,No,No,No,No,No,Yes,No
71,5.16,Long,M,Yes,29,Yes,Yes,No,No,No,Yes,No
72,9.07,Long,F,No,50,No,No,No,No,No,No,No
73,4.04,Long,M,Yes,46,No,No,No,No,No,No,No
74,7.83,Long,M,No,23,Yes,No,No,No,No,Yes,No
75,5.77,Medium,M,No,39,No,No,No,No,Yes,Yes,Yes
76,8.81,Long,F,No,41,Yes,No,No,No,No,No,No
77,8.63,Medium,M,No,43,Yes,No,Yes,Yes,No,Yes,No
78,7.37,Long,M,No,25,Yes,Yes,Yes,Yes,No,Yes,Yes
79,2.76,Long,M,Yes,52,No,No,No,No,No,No,No
