Record#,Elapsed_Time,Time_in_Community,Gender,Working,Age,Family,Hobbies,Social_Club,Political,Professional,Religious,Support_Group
1,2.68,Short,M,Yes,24,Yes,No,Yes,No,Yes,No,No
2,8.67,Short,F,Yes,28,Yes,Yes,Yes,No,No,Yes,No
3,4.7,Short,M,No,49,Yes,No,Yes,Yes,Yes,Yes,Yes
4,8.01,Long,M,No,37,Yes,No,No,No,No,Yes,No
5,7.67,Medium,F,Yes,31,No,No,No,No,No,No,No
6,3.95,Medium,M,Yes,54,No,No,No,No,No,No,No
7,7.79,Medium,F,Yes,53,No,No,No,No,No,Yes,No
8,4.8,Short,F,No,43,No,No,No,No,Yes,No,No
9,7.66,Long,F,Yes,31,Yes,No,No,No,Yes,No,No
10,9.32,Long,F,Yes,27,No,No,No,No,No,No,No
11,2.87,Medium,F,Yes,34,No,No,No,No,No,No,No
12,8.58,Medium,F,No,46,No,No,No,No,Yes,Yes,No
13,8.93,Long,F,Yes,42,Yes,Yes,Yes,No,No,Yes,No
14,6.2,Long,M,Yes,52,No,No,No,No,Yes,No,No
15,2.49,Medium,M,No,19,No,Yes,No,No,No,No,No
16,3.35,Medium,F,No,45,No,No,No,No,Yes,No,No
17,3.92,Medium,M,Yes,29,No,No,No,No,No,No,No
18,5.78,Long,M,Yes,28,No,No,No,No,No,No,No
19,7.54,Medium,M,No,53,No,No,No,No,No,Yes,No
20,2.62,Long,F,No,55,Yes,No,No,No,Yes,No,No
21,4.62,Short,M,No,32,No,Yes,No,Yes,No,Yes,Yes
22,5.38,Long,M,Yes,42,No,No,No,No,No,No,No
23,5.69,Long,M,No,30,Yes,Yes,Yes,No,No,Yes,Yes
24,5.79,Medium,F,No,37,Yes,No,No,No,Yes,Yes,No
25,2.11,Long,M,Yes,47,Yes,Yes,No,No,Yes,Yes,No
26,10.03,Medium,F,No,25,Yes,No,No,No,Yes,No,No
27,2.64,Long,F,Yes,53,No,No,Yes,No,No,Yes,No
28,6.16,Long,F,Yes,37,No,No,Yes,No,Yes,Yes,No
29,3.73,Long,M,Yes,50,No,No,No,No,No,Yes,No
30,6.3,Medium,F,Yes,41,No,No,No,No,No,No,No
31,5.34,Medium,F,Yes,22,Yes,Yes,Yes,Yes,No,Yes,No
32,9.9,Medium,M,Yes,20,No,No,No,No,Yes,No,No
33,3.2,Medium,F,No,25,No,Yes,Yes,No,No,Yes,No
34,2.65,Long,F,Yes,26,Yes,No,No,Yes,Yes,No,No
35,4.95,Medium,F,Yes,31,No,No,No,No,Yes,No,No
36,5.58,Long,M,No,42,Yes,No,No,No,No,No,No
37,9.92,Long,M,Yes,42,No,No,No,No,No,No,No
38,6.88,Medium,F,Yes,29,No,No,No,No,Yes,No,No
39,3.14,Medium,F,No,53,No,No,Yes,No,Yes,No,No
40,7.89,Medium,M,No,19,Yes,No,Yes,No,Yes,Yes,No
41,8.87,Long,M,Yes,34,No,No,No,No,No,No,Yes
42,8.79,Medium,F,Yes,36,No,No,No,No,Yes,No,No
43,3.19,Medium,M,No,33,No,No,No,No,Yes,No,No
44,3.76,Short,F,No,46,Yes,Yes,No,No,No,No,No
45,2.84,Medium,F,Yes,49,Yes,Yes,No,No,No,Yes,No
46,8.98,Short,F,Yes,42,No,No,No,No,No,No,No
47,8.9,Medium,M,Yes,29,No,No,No,No,Yes,No,No
48,4.47,Long,M,No,34,No,No,No,No,Yes,No,No
49,3,Long,M,Yes,43,No,No,No,No,No,No,No
50,7.58,Medium,M,No,43,No,No,No,No,No,Yes,No
51,8.86,Long,F,No,45,Yes,Yes,No,No,No,No,No
52,7.29,Short,F,No,20,No,No,No,No,No,No,No
53,10.04,Long,M,Yes,27,No,No,No,Yes,No,No,Yes
54,9.78,Long,F,Yes,43,No,Yes,No,No,No,No,No
55,3.57,Long,F,No,17,No,No,No,No,No,No,Yes
56,4.41,Medium,M,Yes,50,No,Yes,No,No,Yes,No,No
57,5.13,Short,F,Yes,28,Yes,Yes,No,No,No,Yes,No
58,5.27,Short,F,No,22,No,No,No,No,No,No,No
59,4.55,Long,F,Yes,36,Yes,No,No,No,Yes,No,Yes
60,3.78,Medium,M,Yes,52,No,No,No,No,No,Yes,No
61,9.57,Long,M,Yes,34,Yes,No,No,No,No,Yes,Yes
62,8.61,Long,M,No,55,No,Yes,Yes,No,No,Yes,No
63,4.48,Medium,M,Yes,24,No,No,Yes,No,No,No,No
64,3.1,Short,M,No,25,No,No,No,No,No,No,No
65,3.11,Long,M,Yes,27,Yes,No,Yes,No,No,Yes,No
66,6.14,Medium,M,Yes,35,No,No,No,No,No,No,No
67,5.01,Long,F,No,49,Yes,Yes,No,No,No,Yes,No
68,9.15,Long,M,Yes,55,Yes,Yes,No,No,Yes,Yes,No
69,7.04,Medium,F,Yes,46,Yes,Yes,Yes,No,No,Yes,No
70,2.03,Short,M,Yes,23,No,No,No,No,Yes,No,No
71,2.65,Long,F,No,40,No,No,No,No,No,No,No
72,3.39,Long,F,No,44,Yes,Yes,No,No,Yes,No,No
73,4.52,Medium,F,Yes,19,No,No,No,No,Yes,No,No
74,4.12,Short,F,Yes,36,No,No,No,No,No,No,No
75,6.41,Medium,F,No,25,No,No,No,No,No,No,Yes
76,3.1,Long,M,Yes,43,No,No,No,No,No,No,No
77,2.17,Medium,F,No,24,Yes,Yes,No,No,No,Yes,Yes
78,3.09,Long,F,No,27,No,No,No,No,No,No,No
79,2.82,Long,F,Yes,50,No,No,No,Yes,Yes,No,No
80,7.88,Long,F,Yes,49,No,No,No,No,No,No,No
81,5.08,Medium,F,No,34,No,No,No,No,Yes,No,No
82,6.62,Short,F,No,34,No,No,No,No,Yes,No,Yes
83,2.69,Short,F,Yes,36,No,No,No,No,No,No,No
84,8.57,Medium,F,No,20,No,No,No,No,Yes,No,Yes
85,6.5,Medium,F,No,43,Yes,No,No,No,No,Yes,No
86,5.46,Long,F,Yes,43,No,Yes,No,No,No,Yes,No
87,7.1,Long,M,No,46,No,No,No,No,Yes,No,No
88,8.81,Long,M,No,50,No,No,No,No,No,No,No
89,6.63,Short,F,No,39,Yes,No,Yes,No,No,No,No
90,5.64,Long,F,No,44,No,No,No,No,No,Yes,No
91,2.91,Long,F,Yes,31,No,No,No,No,No,Yes,No
92,6.22,Short,F,Yes,18,No,No,No,No,Yes,No,No
93,2.85,Long,F,No,45,No,No,No,Yes,Yes,No,No
94,4.31,Long,F,Yes,26,Yes,Yes,No,No,No,Yes,No
95,5.24,Medium,M,Yes,47,No,No,No,No,No,No,No
96,5.57,Long,F,Yes,25,No,No,No,No,Yes,No,No
97,7.79,Medium,F,Yes,37,Yes,Yes,No,No,No,Yes,Yes
98,7.53,Long,M,Yes,26,Yes,Yes,Yes,No,No,Yes,No
99,5.62,Medium,F,Yes,45,Yes,No,No,No,No,No,No
100,6.21,Medium,F,Yes,24,No,No,No,No,No,No,No
101,3.16,Medium,F,No,52,No,No,No,No,No,No,No
102,6.82,Long,F,Yes,42,Yes,No,Yes,No,Yes,No,No
103,9.43,Medium,F,No,45,No,Yes,Yes,No,Yes,Yes,No
104,8.63,Medium,M,No,43,Yes,No,Yes,Yes,No,Yes,No
