Record#,Elapsed_Time,Time_in_Community,Gender,Working,Age,Family,Hobbies,Social_Club,Political,Professional,Religious,Support_Group
1,2.6,Long,M,No,51,No,No,No,No,No,Yes,No
2,5.03,Long,F,No,19,No,No,No,No,Yes,No,No
3,5.3,Medium,M,No,26,No,No,No,No,No,No,No
4,5.23,Long,M,Yes,25,Yes,Yes,No,No,Yes,Yes,No
5,5.17,Long,F,No,28,No,No,No,No,Yes,No,No
6,9.63,Short,M,No,35,No,Yes,Yes,No,No,Yes,No
7,8.31,Long,F,Yes,27,Yes,Yes,No,Yes,Yes,Yes,Yes
8,4.19,Long,F,Yes,34,No,Yes,No,No,No,Yes,No
9,7.44,Long,F,No,26,Yes,No,No,No,No,Yes,No
10,4.83,Medium,M,Yes,23,Yes,No,No,Yes,No,No,No
11,6.46,Long,F,Yes,52,No,No,No,Yes,Yes,No,No
12,4.43,Medium,F,No,49,No,No,Yes,No,Yes,No,Yes
13,7.1,Short,M,No,54,Yes,Yes,Yes,No,No,Yes,No
14,2.61,Long,F,No,24,Yes,No,No,No,Yes,No,No
15,8.85,Long,M,Yes,30,Yes,No,Yes,No,No,No,No
16,5.73,Long,M,No,32,No,No,No,Yes,Yes,No,No
17,6.05,Long,M,Yes,38,No,No,No,No,No,Yes,No
18,2.61,Long,F,No,23,No,No,No,No,No,No,No
19,3.74,Medium,M,No,52,No,No,No,No,No,Yes,Yes
20,7.52,Short,F,No,24,No,No,No,No,No,Yes,No
21,3.74,Long,F,Yes,35,No,No,No,No,No,No,No
22,5.25,Medium,F,Yes,32,No,No,No,Yes,No,No,Yes
23,3.33,Medium,F,No,27,No,No,No,No,Yes,No,No
24,2.19,Medium,M,No,37,Yes,No,No,No,No,No,No
25,6.11,Long,F,No,48,No,No,No,No,No,No,No
26,9.35,Medium,M,Yes,53,No,No,No,No,Yes,Yes,Yes
27,9.43,Medium,F,No,46,No,No,Yes,No,No,Yes,Yes
28,3.74,Long,F,Yes,39,Yes,No,No,No,No,No,No
29,5.65,Short,F,Yes,47,Yes,Yes,No,No,Yes,No,No
30,6.97,Long,M,Yes,30,No,No,No,No,Yes,No,No
31,3.3,Medium,F,No,52,No,No,No,No,Yes,No,Yes
32,9.28,Medium,M,No,46,No,No,Yes,Yes,Yes,No,No
33,2.3,Long,F,No,37,No,No,No,No,Yes,No,No
34,6.86,Medium,M,No,38,No,No,No,No,No,No,Yes
35,5.88,Short,M,Yes,22,No,Yes,No,No,Yes,No,No
36,7.88,Short,F,Yes,25,Yes,No,No,No,Yes,Yes,No
37,8.66,Short,M,No,48,No,Yes,No,No,No,Yes,No
38,7.32,Medium,F,Yes,28,No,No,No,No,No,No,No
39,4.79,Medium,M,No,29,No,No,No,No,No,Yes,No
40,6.82,Short,F,No,44,Yes,No,No,No,No,No,Yes
41,8.56,Long,M,No,39,Yes,Yes,Yes,No,No,No,No
42,7.92,Long,F,Yes,37,Yes,Yes,Yes,Yes,No,Yes,Yes
43,9.88,Long,F,Yes,42,No,No,No,Yes,No,Yes,No
44,4.69,Medium,M,No,21,Yes,No,No,No,No,No,No
45,5.46,Long,F,Yes,43,No,Yes,No,No,No,Yes,No
46,6.51,Long,M,No,29,No,No,No,No,No,Yes,No
47,7.25,Medium,F,Yes,33,Yes,Yes,No,No,No,No,No
48,9.27,Long,F,Yes,39,Yes,No,No,No,No,No,No
49,6.85,Short,F,No,44,Yes,Yes,No,No,Yes,Yes,No
50,6.91,Long,F,Yes,43,No,No,No,No,No,No,No
51,5.51,Medium,M,Yes,37,No,Yes,No,No,No,Yes,No
52,9.9,Medium,F,No,22,No,No,Yes,Yes,Yes,No,No
53,6.68,Medium,M,Yes,32,Yes,No,No,No,No,Yes,No
54,2.16,Short,F,Yes,45,No,No,Yes,No,Yes,Yes,No
55,3.8,Medium,F,Yes,23,No,No,No,No,Yes,No,Yes
56,9.67,Short,F,No,31,No,No,No,No,Yes,No,Yes
57,6.43,Medium,M,No,26,No,Yes,No,No,No,Yes,Yes
58,9.15,Medium,M,No,51,No,No,No,No,No,No,No
59,5.92,Short,M,Yes,21,Yes,No,No,No,Yes,No,No
60,5.73,Long,M,Yes,20,No,Yes,No,No,No,Yes,No
61,8.2,Medium,F,Yes,28,No,No,No,No,No,No,No
62,3.87,Short,M,Yes,42,Yes,Yes,No,No,No,No,No
63,8.99,Long,F,No,44,No,No,No,No,Yes,No,No
64,3.48,Medium,M,No,47,Yes,No,Yes,No,Yes,Yes,No
65,3.76,Short,M,Yes,41,No,Yes,No,No,No,Yes,Yes
66,8.4,Long,F,No,37,No,No,No,No,No,No,No
67,5.07,Long,M,No,54,No,No,No,No,No,No,No
68,4.57,Medium,F,No,48,No,Yes,Yes,Yes,No,Yes,No
69,2.23,Short,F,Yes,48,No,No,No,No,Yes,No,No
70,7.29,Long,M,No,24,Yes,No,Yes,No,No,No,No
71,8.3,Medium,M,Yes,56,No,No,No,Yes,Yes,No,Yes
72,6.15,Short,M,Yes,42,No,No,Yes,No,No,Yes,No
73,7.34,Long,F,Yes,46,Yes,Yes,Yes,No,Yes,Yes,No
