Record#,Elapsed_Time,Time_in_Community,Gender,Working,Age,Family,Hobbies,Social_Club,Political,Professional,Religious,Support_Group
1,3.78,Medium,M,Yes,48,Yes,No,No,No,No,No,No
2,9.02,Long,F,Yes,35,No,No,No,No,No,No,No
3,9.28,Medium,F,No,32,Yes,No,No,No,Yes,Yes,No
4,2.1,Medium,F,No,26,Yes,No,No,No,Yes,No,No
5,9.64,Medium,F,No,51,Yes,Yes,No,No,No,Yes,No
6,6.71,Medium,M,Yes,43,Yes,No,No,Yes,Yes,No,No
7,6.87,Medium,M,Yes,19,No,No,No,No,No,No,No
8,3.96,Long,M,Yes,31,Yes,No,Yes,No,No,Yes,No
9,8.63,Long,F,No,53,No,No,Yes,Yes,Yes,Yes,No
10,3.74,Medium,M,No,32,No,No,No,Yes,No,No,No
11,5.94,Long,F,No,40,Yes,Yes,No,No,No,Yes,No
12,3.15,Long,F,Yes,28,No,No,No,No,Yes,No,Yes
13,7.48,Long,F,No,39,No,Yes,No,No,No,Yes,No
14,6.71,Short,M,No,23,Yes,No,No,No,No,Yes,No
15,6.25,Long,M,No,33,No,No,No,No,No,No,No
16,3.51,Medium,M,Yes,44,No,No,No,No,Yes,No,No
17,4.54,Long,M,Yes,21,No,No,No,No,Yes,No,Yes
18,9.33,Medium,M,Yes,54,Yes,No,No,No,No,No,No
19,2.81,Long,M,No,34,Yes,Yes,No,Yes,Yes,Yes,No
20,2.29,Medium,F,No,51,No,No,No,Yes,No,No,Yes
21,5.67,Long,F,No,34,Yes,No,No,No,Yes,No,No
22,5.78,Medium,M,Yes,55,Yes,No,No,Yes,Yes,No,Yes
23,7.13,Medium,F,No,41,Yes,No,No,No,No,No,No
24,8.82,Long,F,Yes,23,No,No,No,No,No,No,No
25,3.82,Medium,M,Yes,54,No,No,No,No,Yes,Yes,No
26,2.86,Short,F,No,47,Yes,Yes,Yes,No,No,Yes,No
27,9.43,Long,M,No,36,No,Yes,No,No,No,Yes,No
28,6.21,Medium,M,Yes,35,No,No,No,Yes,Yes,Yes,No
29,8.76,Long,F,No,20,No,No,No,No,No,No,No
30,7.1,Short,M,No,54,Yes,Yes,Yes,No,No,Yes,No
31,3.67,Medium,M,No,42,No,No,No,No,No,No,No
32,3.41,Long,F,Yes,36,No,No,Yes,No,Yes,Yes,No
33,3.02,Medium,M,No,52,No,No,No,No,Yes,No,No
34,7.47,Long,M,Yes,46,No,No,Yes,Yes,No,No,No
35,2.61,Long,F,Yes,31,No,Yes,No,No,No,No,No
36,7.25,Medium,F,Yes,33,Yes,Yes,No,No,No,No,No
37,8.34,Medium,M,Yes,39,No,No,No,No,No,Yes,No
38,8.35,Long,F,No,37,No,No,No,No,No,No,No
39,7.6,Short,F,Yes,44,No,Yes,Yes,Yes,Yes,Yes,No
40,8.49,Long,M,No,23,No,No,No,No,No,No,Yes
41,7.41,Medium,F,Yes,26,No,No,No,No,No,No,No
42,9.89,Long,F,No,36,No,No,No,No,No,Yes,No
43,5,Medium,F,Yes,19,No,Yes,Yes,Yes,No,Yes,No
44,7.67,Long,F,Yes,36,No,No,No,No,No,No,No
45,8.07,Long,F,No,25,Yes,Yes,No,No,Yes,Yes,No
46,5.91,Long,M,Yes,36,No,Yes,No,No,No,Yes,No
47,5.96,Long,M,Yes,32,No,Yes,No,Yes,Yes,Yes,No
48,9.1,Medium,M,No,32,No,No,No,No,No,Yes,No
49,7.43,Long,F,No,56,No,No,No,No,No,Yes,No
50,3.47,Medium,F,Yes,42,No,No,No,No,Yes,Yes,No
51,9.98,Long,M,Yes,22,No,Yes,No,No,No,No,No
52,8.74,Long,M,Yes,30,No,Yes,Yes,No,Yes,Yes,No
53,5.07,Long,M,Yes,37,Yes,Yes,Yes,No,Yes,Yes,No
54,9.3,Medium,M,No,48,Yes,Yes,No,No,Yes,Yes,No
55,6.65,Long,M,Yes,39,No,No,No,No,No,No,No
56,7.25,Long,M,No,23,Yes,No,Yes,No,No,Yes,Yes
57,4.31,Short,M,No,51,No,No,No,No,No,No,No
58,7.24,Medium,M,Yes,19,No,No,No,No,No,No,No
59,4.47,Long,M,No,34,No,No,No,No,Yes,No,No
60,8.72,Medium,M,No,32,Yes,No,No,No,Yes,No,Yes
61,9.35,Long,F,Yes,46,No,No,No,No,No,No,No
62,7.13,Short,F,Yes,51,No,No,Yes,No,No,No,No
63,5.13,Long,F,Yes,25,No,No,No,No,No,No,No
64,5.62,Long,F,No,21,No,No,No,No,No,No,No
65,2.18,Short,F,Yes,53,Yes,No,No,No,No,Yes,No
66,9.9,Medium,F,Yes,26,No,Yes,No,Yes,Yes,Yes,Yes
67,3.2,Long,F,Yes,21,No,No,No,No,Yes,Yes,No
68,5.42,Long,F,Yes,51,No,No,No,Yes,No,Yes,Yes
