User_ID,Gender,Age,Marital_Status,Website_Activity,Browsed_Electronics_12Mo,Bought_Electronics_12Mo,Bought_Digital_Media_18Mo,Bought_Digital_Books,Payment_Method
62523,F,53,S,Seldom,Yes,Yes,Yes,No,'Credit Card'
10591,F,24,M,Regular,Yes,Yes,Yes,No,'Credit Card'
14109,F,65,M,Frequent,No,Yes,No,Yes,'Website Account'
82587,M,55,M,Seldom,Yes,Yes,Yes,No,'Website Account'
97899,F,50,S,Seldom,Yes,Yes,No,Yes,'Monthly Billing'
47720,M,36,M,Regular,Yes,Yes,Yes,No,'Bank Transfer'
74055,F,49,S,Seldom,Yes,No,Yes,Yes,'Monthly Billing'
20677,F,46,S,Seldom,Yes,No,Yes,No,'Monthly Billing'
47720,M,36,M,Regular,Yes,Yes,Yes,No,'Bank Transfer'
25680,M,56,S,Regular,Yes,Yes,Yes,No,'Credit Card'
93580,M,45,S,Seldom,Yes,Yes,Yes,Yes,'Website Account'
33192,F,64,M,Frequent,No,Yes,No,Yes,'Website Account'
57937,M,28,M,Seldom,Yes,No,Yes,Yes,'Website Account'
36067,M,64,M,Seldom,Yes,No,Yes,No,'Website Account'
25354,F,40,M,Seldom,Yes,No,Yes,Yes,'Bank Transfer'
76655,F,51,S,Seldom,Yes,No,No,No,'Website Account'
96393,F,24,S,Seldom,Yes,No,No,No,'Credit Card'
16788,M,38,S,Seldom,Yes,No,Yes,Yes,'Bank Transfer'
40481,F,39,S,Regular,Yes,Yes,No,No,'Website Account'
35993,M,44,S,Seldom,Yes,Yes,Yes,Yes,'Bank Transfer'
51218,F,31,M,Regular,Yes,Yes,Yes,Yes,'Monthly Billing'
81628,M,51,M,Seldom,Yes,Yes,Yes,No,'Website Account'
46503,M,41,S,Seldom,Yes,No,No,Yes,'Bank Transfer'
11319,M,32,S,Seldom,Yes,No,Yes,No,'Website Account'
85874,F,43,M,Seldom,Yes,No,Yes,No,'Bank Transfer'
29389,M,61,S,Seldom,Yes,Yes,Yes,Yes,'Bank Transfer'
13668,F,52,S,Seldom,Yes,Yes,No,Yes,'Monthly Billing'
93666,M,66,S,Regular,Yes,Yes,Yes,Yes,'Credit Card'
52869,M,62,S,Seldom,Yes,No,Yes,No,'Website Account'
49617,F,63,M,Seldom,Yes,No,Yes,No,'Website Account'
80485,F,67,M,Regular,Yes,No,No,No,'Website Account'
82587,M,55,M,Seldom,Yes,Yes,Yes,No,'Website Account'
52292,M,22,S,Seldom,Yes,Yes,Yes,No,'Bank Transfer'
69935,M,28,M,Regular,Yes,No,Yes,No,'Bank Transfer'
69601,F,62,M,Seldom,Yes,Yes,Yes,Yes,'Monthly Billing'
84250,F,31,S,Seldom,Yes,No,Yes,No,'Website Account'
97981,M,42,S,Seldom,Yes,Yes,Yes,No,'Bank Transfer'
59348,F,37,S,Regular,Yes,Yes,No,No,'Website Account'
93730,M,25,S,Seldom,Yes,No,Yes,No,'Bank Transfer'
19016,M,33,S,Seldom,Yes,Yes,Yes,Yes,'Bank Transfer'
10591,F,24,M,Regular,Yes,Yes,Yes,No,'Credit Card'
92374,F,68,M,Regular,Yes,No,No,No,'Website Account'
90469,M,45,S,Seldom,Yes,Yes,Yes,Yes,'Website Account'
81277,F,36,S,Regular,Yes,Yes,No,No,'Website Account'
65693,M,46,S,Frequent,Yes,No,No,No,'Website Account'
70473,M,50,S,Frequent,Yes,No,No,No,'Website Account'
44901,M,55,M,Seldom,Yes,No,Yes,Yes,'Website Account'
45400,F,40,M,Regular,Yes,Yes,Yes,Yes,'Website Account'
79836,F,31,S,Seldom,Yes,No,Yes,No,'Website Account'
35783,M,58,S,Seldom,Yes,No,Yes,No,'Website Account'
67881,M,51,S,Frequent,Yes,Yes,Yes,Yes,'Website Account'
42424,F,57,S,Regular,Yes,No,No,Yes,'Website Account'
19396,M,41,M,Seldom,Yes,Yes,Yes,No,'Website Account'
53506,M,37,M,Seldom,Yes,No,Yes,Yes,'Website Account'
75722,M,47,S,Seldom,Yes,No,Yes,Yes,'Website Account'
69715,F,50,S,Seldom,Yes,Yes,No,Yes,'Bank Transfer'
22561,F,45,M,Seldom,Yes,No,Yes,Yes,'Bank Transfer'
51348,M,31,M,Seldom,Yes,Yes,Yes,Yes,'Website Account'
92866,M,30,M,Seldom,Yes,No,Yes,Yes,'Website Account'
18272,F,29,M,Seldom,Yes,Yes,Yes,No,'Bank Transfer'
84566,M,55,M,Seldom,Yes,No,Yes,Yes,'Website Account'
14202,F,51,M,Seldom,Yes,Yes,Yes,No,'Bank Transfer'
87205,M,53,S,Seldom,Yes,No,Yes,No,'Website Account'
72889,M,63,M,Seldom,Yes,No,Yes,No,'Website Account'
25980,M,29,M,Regular,Yes,Yes,Yes,No,'Website Account'
21099,M,57,S,Regular,Yes,Yes,Yes,No,'Credit Card'
89231,F,52,S,Seldom,Yes,Yes,Yes,Yes,'Bank Transfer'
57937,M,28,M,Seldom,Yes,No,Yes,Yes,'Website Account'
33261,M,18,M,Seldom,Yes,Yes,Yes,Yes,'Website Account'
23677,F,62,M,Frequent,Yes,No,No,No,'Monthly Billing'
92932,M,26,M,Regular,Yes,No,Yes,No,'Website Account'
80502,F,37,S,Frequent,Yes,No,Yes,No,'Website Account'
15083,F,51,S,Seldom,Yes,Yes,No,Yes,'Credit Card'
44042,M,27,M,Regular,Yes,No,Yes,No,'Website Account'
83814,F,63,M,Regular,Yes,Yes,Yes,No,'Monthly Billing'
78255,M,62,M,Seldom,Yes,No,Yes,No,'Website Account'
82587,M,55,M,Seldom,Yes,Yes,Yes,No,'Website Account'
10153,M,46,M,Frequent,Yes,Yes,No,Yes,'Website Account'
53876,F,65,M,Frequent,Yes,No,No,No,'Monthly Billing'
75104,F,43,M,Seldom,Yes,No,Yes,No,'Bank Transfer'
64950,M,39,S,Seldom,Yes,No,Yes,No,'Bank Transfer'
76970,M,47,S,Seldom,Yes,No,Yes,No,'Credit Card'
36277,F,18,S,Seldom,Yes,No,Yes,Yes,'Website Account'
46304,M,33,S,Seldom,Yes,No,Yes,No,'Website Account'
27878,M,66,M,Seldom,Yes,Yes,Yes,Yes,'Website Account'
67603,F,62,S,Regular,Yes,Yes,Yes,No,'Website Account'
92483,F,53,M,Regular,No,Yes,Yes,No,'Credit Card'
45460,F,52,S,Seldom,Yes,Yes,Yes,No,'Credit Card'
43668,F,41,S,Regular,Yes,Yes,Yes,Yes,'Bank Transfer'
39308,M,54,M,Seldom,Yes,No,Yes,Yes,'Website Account'
45460,F,52,S,Seldom,Yes,Yes,Yes,No,'Credit Card'
16788,M,38,S,Seldom,Yes,No,Yes,Yes,'Bank Transfer'
72270,M,17,M,Seldom,Yes,Yes,Yes,Yes,'Website Account'
70317,F,54,S,Regular,Yes,Yes,No,No,'Bank Transfer'
13408,M,68,M,Seldom,Yes,No,No,No,'Bank Transfer'
87341,F,57,S,Regular,Yes,No,No,Yes,'Website Account'
23009,M,34,S,Seldom,Yes,No,Yes,Yes,'Bank Transfer'
89831,F,58,S,Seldom,Yes,No,Yes,No,'Website Account'
85169,F,28,M,Seldom,Yes,No,Yes,No,'Monthly Billing'
50777,F,34,S,Regular,Yes,Yes,Yes,No,'Website Account'
88464,M,46,S,Seldom,Yes,Yes,Yes,Yes,'Bank Transfer'
96545,F,61,S,Regular,Yes,Yes,Yes,No,'Website Account'
19396,M,41,M,Seldom,Yes,Yes,Yes,No,'Website Account'
12524,F,27,M,Regular,Yes,Yes,Yes,Yes,'Monthly Billing'
35350,M,36,S,Regular,Yes,No,Yes,Yes,'Website Account'
97899,F,50,S,Seldom,Yes,Yes,No,Yes,'Monthly Billing'
55075,F,45,M,Regular,Yes,Yes,Yes,Yes,'Bank Transfer'
25354,F,40,M,Seldom,Yes,No,Yes,Yes,'Bank Transfer'
64950,M,39,S,Seldom,Yes,No,Yes,No,'Bank Transfer'
54936,M,46,S,Regular,Yes,Yes,Yes,No,'Website Account'
32695,F,34,S,Seldom,Yes,No,Yes,No,'Bank Transfer'
12532,F,48,S,Seldom,Yes,Yes,No,Yes,'Credit Card'
76970,M,47,S,Seldom,Yes,No,Yes,No,'Credit Card'
89831,F,58,S,Seldom,Yes,No,Yes,No,'Website Account'
85451,M,52,M,Seldom,Yes,Yes,Yes,No,'Website Account'
23768,F,53,S,Seldom,Yes,Yes,Yes,No,'Credit Card'
76591,M,61,S,Seldom,Yes,No,Yes,No,'Bank Transfer'
48696,F,53,S,Regular,Yes,Yes,No,No,'Bank Transfer'
64950,M,39,S,Seldom,Yes,No,Yes,No,'Bank Transfer'
25404,F,62,M,Frequent,Yes,No,No,No,'Monthly Billing'
55886,F,54,S,Regular,Yes,Yes,No,No,'Bank Transfer'
13308,F,54,S,Seldom,Yes,No,Yes,Yes,'Credit Card'
70355,M,45,M,Regular,Yes,Yes,Yes,Yes,'Website Account'
14202,F,51,M,Seldom,Yes,Yes,Yes,No,'Bank Transfer'
42885,M,22,M,Seldom,Yes,No,Yes,Yes,'Monthly Billing'
62033,M,56,M,Seldom,Yes,No,Yes,Yes,'Website Account'
80485,F,67,M,Regular,Yes,No,No,No,'Website Account'
13408,M,68,M,Seldom,Yes,No,No,No,'Bank Transfer'
38013,M,54,S,Seldom,Yes,No,Yes,No,'Website Account'
22561,F,45,M,Seldom,Yes,No,Yes,Yes,'Bank Transfer'
27193,M,17,M,Seldom,Yes,No,Yes,No,'Credit Card'
13172,M,25,M,Seldom,Yes,No,No,No,'Monthly Billing'
15614,F,51,S,Seldom,Yes,Yes,No,Yes,'Credit Card'
81945,F,32,M,Frequent,Yes,Yes,No,No,'Monthly Billing'
61082,F,51,S,Seldom,Yes,Yes,Yes,Yes,'Bank Transfer'
62492,M,43,M,Seldom,Yes,Yes,Yes,Yes,'Bank Transfer'
19429,M,64,M,Seldom,Yes,Yes,Yes,Yes,'Website Account'
62087,F,50,S,Seldom,Yes,Yes,No,No,'Bank Transfer'
94008,M,47,M,Regular,Yes,No,Yes,No,'Credit Card'
20677,F,46,S,Seldom,Yes,No,Yes,No,'Monthly Billing'
69601,F,62,M,Seldom,Yes,Yes,Yes,Yes,'Monthly Billing'
22402,M,23,M,Regular,Yes,No,Yes,No,'Website Account'
93666,M,66,S,Regular,Yes,Yes,Yes,Yes,'Credit Card'
26056,M,45,S,Seldom,Yes,Yes,Yes,No,'Website Account'
36740,M,65,S,Regular,Yes,Yes,Yes,Yes,'Credit Card'
16994,F,67,M,Frequent,No,Yes,No,Yes,'Website Account'
36740,M,65,S,Regular,Yes,Yes,Yes,Yes,'Credit Card'
89231,F,52,S,Seldom,Yes,Yes,Yes,Yes,'Bank Transfer'
57746,M,43,S,Seldom,Yes,Yes,Yes,Yes,'Bank Transfer'
16908,F,52,M,Seldom,Yes,Yes,Yes,No,'Bank Transfer'
57474,F,26,M,Seldom,Yes,No,Yes,Yes,'Website Account'
92296,M,51,M,Frequent,Yes,Yes,Yes,No,'Bank Transfer'
36740,M,65,S,Regular,Yes,Yes,Yes,Yes,'Credit Card'
75706,F,31,M,Seldom,Yes,No,Yes,No,'Monthly Billing'
52292,M,22,S,Seldom,Yes,Yes,Yes,No,'Bank Transfer'
62258,M,64,S,Seldom,Yes,No,Yes,Yes,'Bank Transfer'
95316,F,28,M,Seldom,Yes,No,Yes,Yes,'Website Account'
75183,F,60,M,Seldom,Yes,Yes,Yes,Yes,'Monthly Billing'
14507,M,48,S,Regular,Yes,No,Yes,No,'Website Account'
84559,M,36,M,Regular,Yes,Yes,Yes,No,'Bank Transfer'
62523,F,53,S,Seldom,Yes,Yes,Yes,No,'Credit Card'
52945,M,42,S,Seldom,Yes,No,No,Yes,'Bank Transfer'
38763,M,33,M,Seldom,Yes,No,Yes,No,'Monthly Billing'
52945,M,42,S,Seldom,Yes,No,No,Yes,'Bank Transfer'
58704,M,43,M,Frequent,Yes,Yes,No,Yes,'Website Account'
55781,M,58,S,Regular,No,Yes,Yes,Yes,'Bank Transfer'
58325,M,36,S,Seldom,Yes,No,Yes,Yes,'Bank Transfer'
26771,F,68,S,Seldom,Yes,No,Yes,Yes,'Website Account'
16840,M,27,M,Regular,Yes,No,Yes,No,'Bank Transfer'
35350,M,36,S,Regular,Yes,No,Yes,Yes,'Website Account'
93435,M,44,M,Frequent,Yes,Yes,No,Yes,'Website Account'
29168,F,53,S,Seldom,Yes,No,No,No,'Website Account'
18228,F,52,M,Seldom,Yes,No,Yes,No,'Bank Transfer'
84559,M,36,M,Regular,Yes,Yes,Yes,No,'Bank Transfer'
15614,F,51,S,Seldom,Yes,Yes,No,Yes,'Credit Card'
69935,M,28,M,Regular,Yes,No,Yes,No,'Bank Transfer'
38763,M,33,M,Seldom,Yes,No,Yes,No,'Monthly Billing'
11319,M,32,S,Seldom,Yes,No,Yes,No,'Website Account'
81919,F,38,S,Regular,Yes,Yes,Yes,No,'Website Account'
74414,M,64,M,Seldom,Yes,Yes,Yes,No,'Monthly Billing'
46503,M,41,S,Seldom,Yes,No,No,Yes,'Bank Transfer'
71801,F,30,M,Seldom,Yes,No,Yes,Yes,'Website Account'
67818,M,47,M,Regular,Yes,No,No,No,'Credit Card'
84566,M,55,M,Seldom,Yes,No,Yes,Yes,'Website Account'
72143,F,50,S,Seldom,Yes,No,No,No,'Website Account'
13172,M,25,M,Seldom,Yes,No,No,No,'Monthly Billing'
23009,M,34,S,Seldom,Yes,No,Yes,Yes,'Bank Transfer'
63799,M,44,S,Regular,Yes,No,Yes,No,'Website Account'
85498,M,52,M,Seldom,Yes,Yes,Yes,No,'Website Account'
13296,M,49,M,Seldom,Yes,Yes,Yes,Yes,'Monthly Billing'
85874,F,43,M,Seldom,Yes,No,Yes,No,'Bank Transfer'
97362,F,43,M,Seldom,Yes,No,Yes,No,'Bank Transfer'
92296,M,51,M,Frequent,Yes,Yes,Yes,No,'Bank Transfer'
65242,M,45,S,Seldom,Yes,No,No,Yes,'Bank Transfer'
73685,M,61,S,Seldom,Yes,Yes,Yes,Yes,'Bank Transfer'
14507,M,48,S,Regular,Yes,No,Yes,No,'Website Account'
75104,F,43,M,Seldom,Yes,No,Yes,No,'Bank Transfer'
28689,F,64,M,Regular,No,Yes,Yes,No,'Bank Transfer'
25205,M,68,M,Seldom,Yes,No,Yes,No,'Credit Card'
77373,M,17,M,Seldom,Yes,No,Yes,No,'Credit Card'
53506,M,37,M,Seldom,Yes,No,Yes,Yes,'Website Account'
34616,M,23,S,Seldom,Yes,No,Yes,No,'Bank Transfer'
13668,F,52,S,Seldom,Yes,Yes,No,Yes,'Monthly Billing'
85874,F,43,M,Seldom,Yes,No,Yes,No,'Bank Transfer'
53642,M,67,S,Regular,Yes,Yes,Yes,Yes,'Credit Card'
73118,F,57,S,Seldom,Yes,No,Yes,No,'Website Account'
50209,F,44,M,Seldom,Yes,No,Yes,No,'Bank Transfer'
84566,M,55,M,Seldom,Yes,No,Yes,Yes,'Website Account'
34213,M,29,M,Regular,No,No,Yes,No,'Monthly Billing'
27852,M,37,S,Seldom,Yes,No,Yes,No,'Bank Transfer'
19396,M,41,M,Seldom,Yes,Yes,Yes,No,'Website Account'
10153,M,46,M,Frequent,Yes,Yes,No,Yes,'Website Account'
14980,F,59,S,Seldom,Yes,No,Yes,No,'Monthly Billing'
13880,M,48,S,Seldom,Yes,No,Yes,Yes,'Website Account'
11319,M,32,S,Seldom,Yes,No,Yes,No,'Website Account'
42885,M,22,M,Seldom,Yes,No,Yes,Yes,'Monthly Billing'
52083,M,47,S,Regular,Yes,Yes,Yes,No,'Website Account'
32227,F,63,M,Regular,No,Yes,Yes,No,'Bank Transfer'
36662,F,33,S,Seldom,Yes,No,Yes,No,'Website Account'
50272,M,37,S,Seldom,Yes,No,Yes,No,'Bank Transfer'
98275,F,49,M,Regular,No,Yes,Yes,No,'Credit Card'
77028,F,43,M,Regular,Yes,Yes,Yes,Yes,'Website Account'
94008,M,47,M,Regular,Yes,No,Yes,No,'Credit Card'
67767,M,52,M,Frequent,Yes,Yes,Yes,No,'Bank Transfer'
92296,M,51,M,Frequent,Yes,Yes,Yes,No,'Bank Transfer'
49866,M,61,M,Frequent,Yes,No,Yes,No,'Website Account'
16788,M,38,S,Seldom,Yes,No,Yes,Yes,'Bank Transfer'
88795,M,52,M,Seldom,Yes,No,No,Yes,'Credit Card'
54239,M,36,S,Regular,Yes,No,Yes,Yes,'Website Account'
78096,F,25,M,Regular,Yes,Yes,Yes,No,'Credit Card'
80502,F,37,S,Frequent,Yes,No,Yes,No,'Website Account'
90036,F,52,S,Seldom,Yes,Yes,No,Yes,'Bank Transfer'
69195,M,48,S,Regular,Yes,No,Yes,No,'Website Account'
52945,M,42,S,Seldom,Yes,No,No,Yes,'Bank Transfer'
64950,M,39,S,Seldom,Yes,No,Yes,No,'Bank Transfer'
92903,F,37,M,Seldom,Yes,No,Yes,Yes,'Bank Transfer'
77555,M,68,S,Regular,Yes,No,No,Yes,'Credit Card'
12784,F,44,M,Regular,Yes,Yes,Yes,Yes,'Website Account'
56031,M,57,S,Regular,Yes,Yes,Yes,Yes,'Bank Transfer'
31365,F,36,S,Regular,Yes,Yes,Yes,No,'Website Account'
80117,F,46,M,Regular,Yes,Yes,Yes,Yes,'Bank Transfer'
49903,F,42,M,Regular,Yes,Yes,Yes,Yes,'Website Account'
20677,F,46,S,Seldom,Yes,No,Yes,No,'Monthly Billing'
25250,M,59,S,Seldom,Yes,No,Yes,Yes,'Bank Transfer'
68362,F,47,M,Seldom,Yes,Yes,Yes,Yes,'Website Account'
11925,F,35,S,Seldom,Yes,No,Yes,No,'Bank Transfer'
75722,M,47,S,Seldom,Yes,No,Yes,Yes,'Website Account'
43219,F,46,S,Regular,Yes,Yes,Yes,No,'Bank Transfer'
14980,F,59,S,Seldom,Yes,No,Yes,No,'Monthly Billing'
82405,M,30,M,Regular,Yes,Yes,Yes,No,'Website Account'
72143,F,50,S,Seldom,Yes,No,No,No,'Website Account'
75722,M,47,S,Seldom,Yes,No,Yes,Yes,'Website Account'
14026,F,64,M,Regular,No,Yes,Yes,No,'Bank Transfer'
47073,F,28,M,Seldom,Yes,Yes,Yes,No,'Bank Transfer'
25404,F,62,M,Frequent,Yes,No,No,No,'Monthly Billing'
75778,M,66,M,Seldom,Yes,No,Yes,No,'Credit Card'
19016,M,33,S,Seldom,Yes,Yes,Yes,Yes,'Bank Transfer'
83814,F,63,M,Regular,Yes,Yes,Yes,No,'Monthly Billing'
53642,M,67,S,Regular,Yes,Yes,Yes,Yes,'Credit Card'
69195,M,48,S,Regular,Yes,No,Yes,No,'Website Account'
55308,F,29,S,Regular,Yes,No,Yes,Yes,'Bank Transfer'
75183,F,60,M,Seldom,Yes,Yes,Yes,Yes,'Monthly Billing'
21099,M,57,S,Regular,Yes,Yes,Yes,No,'Credit Card'
70355,M,45,M,Regular,Yes,Yes,Yes,Yes,'Website Account'
14026,F,64,M,Regular,No,Yes,Yes,No,'Bank Transfer'
54445,F,33,M,Regular,Yes,No,Yes,No,'Website Account'
47884,M,37,M,Seldom,Yes,No,Yes,No,'Monthly Billing'
76558,F,49,M,Seldom,Yes,No,Yes,No,'Bank Transfer'
56031,M,57,S,Regular,Yes,Yes,Yes,Yes,'Bank Transfer'
35417,M,28,M,Regular,No,No,Yes,No,'Monthly Billing'
79836,F,31,S,Seldom,Yes,No,Yes,No,'Website Account'
40481,F,39,S,Regular,Yes,Yes,No,No,'Website Account'
94865,M,50,M,Seldom,Yes,Yes,Yes,Yes,'Monthly Billing'
80090,F,32,M,Seldom,Yes,No,Yes,No,'Monthly Billing'
69935,M,28,M,Regular,Yes,No,Yes,No,'Bank Transfer'
15286,F,52,M,Seldom,Yes,Yes,Yes,No,'Bank Transfer'
27193,M,17,M,Seldom,Yes,No,Yes,No,'Credit Card'
74414,M,64,M,Seldom,Yes,Yes,Yes,No,'Monthly Billing'
11319,M,32,S,Seldom,Yes,No,Yes,No,'Website Account'
82082,F,27,S,Regular,Yes,No,Yes,Yes,'Bank Transfer'
18272,F,29,M,Seldom,Yes,Yes,Yes,No,'Bank Transfer'
22923,F,50,S,Seldom,Yes,Yes,No,Yes,'Monthly Billing'
89231,F,52,S,Seldom,Yes,Yes,Yes,Yes,'Bank Transfer'
62492,M,43,M,Seldom,Yes,Yes,Yes,Yes,'Bank Transfer'
