User_ID,Gender,Age,Marital_Status,Website_Activity,Browsed_Electronics_12Mo,Bought_Electronics_12Mo,Bought_Digital_Media_18Mo,Bought_Digital_Books,Payment_Method
82082,F,27,S,Regular,Yes,No,Yes,Yes,'Bank Transfer'
46304,M,33,S,Seldom,Yes,No,Yes,No,'Website Account'
16788,M,38,S,Seldom,Yes,No,Yes,Yes,'Bank Transfer'
84631,F,58,S,Regular,Yes,No,No,Yes,'Website Account'
92068,M,55,S,Seldom,Yes,No,Yes,No,'Website Account'
42786,M,34,M,Seldom,Yes,No,Yes,Yes,'Website Account'
15575,M,37,M,Seldom,Yes,No,Yes,Yes,'Website Account'
87341,F,57,S,Regular,Yes,No,No,Yes,'Website Account'
14507,M,48,S,Regular,Yes,No,Yes,No,'Website Account'
19016,M,33,S,Seldom,Yes,Yes,Yes,Yes,'Bank Transfer'
80117,F,46,M,Regular,Yes,Yes,Yes,Yes,'Bank Transfer'
35993,M,44,S,Seldom,Yes,Yes,Yes,Yes,'Bank Transfer'
75778,M,66,M,Seldom,Yes,No,Yes,No,'Credit Card'
64466,M,68,M,Regular,Yes,Yes,Yes,No,'Bank Transfer'
35169,M,37,M,Seldom,Yes,No,Yes,No,'Monthly Billing'
81945,F,32,M,Frequent,Yes,Yes,No,No,'Monthly Billing'
67586,M,51,M,Seldom,Yes,No,No,Yes,'Credit Card'
80117,F,46,M,Regular,Yes,Yes,Yes,Yes,'Bank Transfer'
26109,M,46,M,Seldom,Yes,Yes,Yes,Yes,'Monthly Billing'
36662,F,33,S,Seldom,Yes,No,Yes,No,'Website Account'
13880,M,48,S,Seldom,Yes,No,Yes,Yes,'Website Account'
63427,F,51,S,Seldom,Yes,Yes,No,Yes,'Bank Transfer'
54220,F,53,S,Seldom,Yes,No,Yes,Yes,'Credit Card'
75778,M,66,M,Seldom,Yes,No,Yes,No,'Credit Card'
37805,F,56,S,Seldom,Yes,No,Yes,No,'Website Account'
92903,F,37,M,Seldom,Yes,No,Yes,Yes,'Bank Transfer'
45102,M,60,S,Seldom,Yes,No,Yes,Yes,'Bank Transfer'
70731,F,51,S,Seldom,Yes,Yes,No,Yes,'Monthly Billing'
54936,M,46,S,Regular,Yes,Yes,Yes,No,'Website Account'
49019,M,48,S,Seldom,Yes,No,Yes,No,'Credit Card'
40897,M,23,M,Regular,Yes,Yes,Yes,Yes,'Website Account'
92068,M,55,S,Seldom,Yes,No,Yes,No,'Website Account'
79906,M,44,M,Seldom,Yes,Yes,Yes,No,'Website Account'
40666,M,22,M,Regular,Yes,Yes,Yes,Yes,'Website Account'
45460,F,52,S,Seldom,Yes,Yes,Yes,No,'Credit Card'
89520,M,50,S,Frequent,Yes,No,No,No,'Website Account'
62131,M,17,M,Seldom,Yes,No,Yes,No,'Credit Card'
65341,F,32,S,Seldom,Yes,No,Yes,No,'Website Account'
93730,M,25,S,Seldom,Yes,No,Yes,No,'Bank Transfer'
92068,M,55,S,Seldom,Yes,No,Yes,No,'Website Account'
15083,F,51,S,Seldom,Yes,Yes,No,Yes,'Credit Card'
