User_ID,Gender,Age,Marital_Status,Website_Activity,Browsed_Electronics_12Mo,Bought_Electronics_12Mo,Bought_Digital_Media_18Mo,Bought_Digital_Books,Payment_Method
44901,M,55,M,Seldom,Yes,No,Yes,Yes,'Website Account'
19303,F,49,S,Seldom,Yes,No,Yes,Yes,'Monthly Billing'
92784,M,68,S,Seldom,Yes,No,Yes,Yes,'Bank Transfer'
45505,M,53,S,Regular,Yes,No,Yes,Yes,'Website Account'
77555,M,68,S,Regular,Yes,No,No,Yes,'Credit Card'
92068,M,55,S,Seldom,Yes,No,Yes,No,'Website Account'
76172,F,47,S,Seldom,Yes,Yes,No,Yes,'Credit Card'
97362,F,43,M,Seldom,Yes,No,Yes,No,'Bank Transfer'
49903,F,42,M,Regular,Yes,Yes,Yes,Yes,'Website Account'
92866,M,30,M,Seldom,Yes,No,Yes,Yes,'Website Account'
73642,F,50,M,Regular,Yes,Yes,No,No,'Bank Transfer'
49408,M,34,M,Seldom,Yes,Yes,Yes,Yes,'Website Account'
25250,M,59,S,Seldom,Yes,No,Yes,Yes,'Bank Transfer'
67645,M,61,S,Seldom,Yes,No,Yes,No,'Website Account'
57301,M,63,M,Seldom,Yes,Yes,Yes,Yes,'Website Account'
12524,F,27,M,Regular,Yes,Yes,Yes,Yes,'Monthly Billing'
19303,F,49,S,Seldom,Yes,No,Yes,Yes,'Monthly Billing'
25913,F,51,M,Regular,Yes,Yes,No,No,'Bank Transfer'
61278,M,49,S,Seldom,Yes,No,Yes,Yes,'Website Account'
70317,F,54,S,Regular,Yes,Yes,No,No,'Bank Transfer'
96393,F,24,S,Seldom,Yes,No,No,No,'Credit Card'
86915,F,31,S,Seldom,Yes,No,Yes,No,'Website Account'
24719,F,23,S,Seldom,Yes,No,No,No,'Credit Card'
44534,M,30,M,Seldom,Yes,No,Yes,Yes,'Website Account'
46208,M,69,M,Regular,Yes,Yes,Yes,No,'Bank Transfer'
34642,F,42,S,Regular,Yes,Yes,Yes,Yes,'Bank Transfer'
25980,M,29,M,Regular,Yes,Yes,Yes,No,'Website Account'
86962,F,26,S,Regular,Yes,No,Yes,Yes,'Bank Transfer'
20677,F,46,S,Seldom,Yes,No,Yes,No,'Monthly Billing'
59348,F,37,S,Regular,Yes,Yes,No,No,'Website Account'
10246,F,19,S,Seldom,Yes,No,Yes,Yes,'Website Account'
55781,M,58,S,Regular,No,Yes,Yes,Yes,'Bank Transfer'
19303,F,49,S,Seldom,Yes,No,Yes,Yes,'Monthly Billing'
85451,M,52,M,Seldom,Yes,Yes,Yes,No,'Website Account'
35993,M,44,S,Seldom,Yes,Yes,Yes,Yes,'Bank Transfer'
66037,F,49,S,Seldom,Yes,No,Yes,Yes,'Monthly Billing'
55610,F,56,M,Seldom,Yes,No,Yes,Yes,'Website Account'
78795,F,57,S,Seldom,Yes,No,Yes,No,'Website Account'
97649,M,35,S,Regular,Yes,No,Yes,Yes,'Website Account'
67603,F,62,S,Regular,Yes,Yes,Yes,No,'Website Account'
52421,F,37,S,Seldom,Yes,Yes,Yes,No,'Website Account'
26623,F,44,M,Seldom,Yes,Yes,Yes,Yes,'Website Account'
27878,M,66,M,Seldom,Yes,Yes,Yes,Yes,'Website Account'
46503,M,41,S,Seldom,Yes,No,No,Yes,'Bank Transfer'
88666,F,26,M,Seldom,Yes,Yes,Yes,No,'Bank Transfer'
96893,F,28,M,Seldom,Yes,No,Yes,Yes,'Bank Transfer'
76591,M,61,S,Seldom,Yes,No,Yes,No,'Bank Transfer'
75778,M,66,M,Seldom,Yes,No,Yes,No,'Credit Card'
49019,M,48,S,Seldom,Yes,No,Yes,No,'Credit Card'
87800,F,63,M,Regular,Yes,Yes,Yes,No,'Monthly Billing'
84250,F,31,S,Seldom,Yes,No,Yes,No,'Website Account'
