MinMax,Z-score,Age,Teenager,Young,Mid_Age,Mature,Old,Gender
0.32075471698113206,-0.8914259762060865,34.0,,34.0,52.0,56.0,,1.0
0.6603773584905661,0.4576296461000813,52.0,,18.0,52.0,64.0,,0.0
0.6603773584905661,0.4576296461000813,52.0,,21.0,53.0,64.0,,0.0
0.018867924528301883,-2.0905865293671244,18.0,,29.0,44.0,67.0,,1.0
0.7358490566037736,0.7574197843903407,56.0,,26.0,50.0,62.0,,0.0
0.07547169811320753,-1.86574392564943,21.0,,32.0,49.0,69.0,,0.0
0.22641509433962265,-1.266163649068911,29.0,,33.0,47.0,57.0,,0.0
0.679245283018868,0.5325771806726461,53.0,,33.0,50.0,65.0,,0.0
0.5094339622641508,-0.14195063048043777,44.0,,18.0,50.0,58.0,,1.0
0.8867924528301887,1.35700006097086,64.0,,25.0,48.0,59.0,,1.0
0.169811320754717,-1.4910062527866055,26.0,,34.0,40.0,64.0,,0.0
0.2830188679245283,-1.0413210453512163,32.0,,34.0,49.0,67.0,,1.0
0.6226415094339623,0.3077345769549515,50.0,,32.0,46.0,56.0,,1.0
0.6037735849056605,0.23278704238238662,49.0,,29.0,46.0,66.0,,0.0
0.8867924528301887,1.35700006097086,64.0,,26.0,48.0,68.0,,1.0
0.9433962264150944,1.5818426646885544,67.0,,31.0,44.0,57.0,,0.0
0.8490566037735849,1.20710499182573,62.0,,29.0,52.0,63.0,,0.0
0.3018867924528302,-0.9663735107786514,33.0,,34.0,48.0,60.0,,0.0
0.9811320754716981,1.7317377338336841,69.0,,23.0,46.0,65.0,,1.0
0.5660377358490565,0.08289197323725687,47.0,,28.0,41.0,67.0,,1.0
0.3018867924528302,-0.9663735107786514,33.0,,30.0,44.0,59.0,,0.0
0.6226415094339623,0.3077345769549515,50.0,,22.0,53.0,63.0,,0.0
0.7547169811320755,0.8323673189629056,57.0,,26.0,53.0,57.0,,1.0
0.018867924528301883,-2.0905865293671244,18.0,,35.0,38.0,59.0,,0.0
0.15094339622641512,-1.5659537873591705,25.0,,24.0,46.0,57.0,,1.0
0.9056603773584906,1.4319475955434247,65.0,,27.0,47.0,62.0,,0.0
0.6226415094339623,0.3077345769549515,50.0,,25.0,45.0,64.0,,0.0
0.32075471698113206,-0.8914259762060865,34.0,,35.0,47.0,57.0,,1.0
0.5849056603773586,0.15783950780982176,48.0,,29.0,47.0,64.0,,1.0
0.32075471698113206,-0.8914259762060865,34.0,,20.0,48.0,65.0,,1.0
0.7735849056603774,0.9073148535354706,58.0,,30.0,43.0,58.0,,1.0
0.7924528301886793,0.9822623881080355,59.0,,28.0,36.0,69.0,,1.0
0.43396226415094336,-0.4417407687706973,40.0,,34.0,45.0,62.0,,0.0
0.2830188679245283,-1.0413210453512163,32.0,,28.0,38.0,62.0,,0.0
0.6037735849056605,0.23278704238238662,49.0,,19.0,43.0,65.0,,0.0
0.5471698113207546,0.007944438664692001,46.0,,33.0,50.0,56.0,,1.0
0.8867924528301887,1.35700006097086,64.0,,31.0,36.0,58.0,,0.0
0.5471698113207546,0.007944438664692001,46.0,,25.0,44.0,65.0,,1.0
0.9433962264150944,1.5818426646885544,67.0,,30.0,36.0,64.0,,0.0
0.5849056603773586,0.15783950780982176,48.0,,28.0,55.0,61.0,,1.0
0.7358490566037736,0.7574197843903407,56.0,,29.0,43.0,58.0,,0.0
0.9245283018867925,1.5068951301159896,66.0,,31.0,45.0,68.0,,0.0
0.9622641509433962,1.6567901992611194,68.0,,31.0,54.0,67.0,,1.0
0.22641509433962265,-1.266163649068911,29.0,,29.0,40.0,67.0,,1.0
0.7547169811320755,0.8323673189629056,57.0,,22.0,50.0,62.0,,0.0
0.169811320754717,-1.4910062527866055,26.0,,24.0,37.0,69.0,,1.0
0.8679245283018868,1.282052526398295,63.0,,22.0,54.0,68.0,,1.0
0.5094339622641508,-0.14195063048043777,44.0,,30.0,46.0,67.0,,1.0
0.2641509433962264,-1.1162685799237813,31.0,,27.0,36.0,64.0,,0.0
0.8113207547169812,1.0572099226806002,60.0,,35.0,42.0,67.0,,0.0
0.6603773584905661,0.4576296461000813,52.0,,28.0,36.0,57.0,,1.0
