User_ID,Gender,Age,Marital_Status,Website_Activity,Browsed_Electronics_12Mo,Bought_Electronics_12Mo,Bought_Digital_Media_18Mo,Bought_Digital_Books,Payment_Method
15083,F,51,S,Seldom,Yes,Yes,No,Yes,'Credit Card'
91499,M,47,M,Seldom,Yes,Yes,Yes,Yes,'Monthly Billing'
79896,F,66,M,Frequent,No,Yes,No,Yes,'Website Account'
34616,M,23,S,Seldom,Yes,No,Yes,No,'Bank Transfer'
40897,M,23,M,Regular,Yes,Yes,Yes,Yes,'Website Account'
13880,M,48,S,Seldom,Yes,No,Yes,Yes,'Website Account'
16908,F,52,M,Seldom,Yes,Yes,Yes,No,'Bank Transfer'
65788,M,31,S,Seldom,Yes,No,Yes,No,'Website Account'
24084,M,49,S,Seldom,Yes,No,Yes,No,'Credit Card'
43668,F,41,S,Regular,Yes,Yes,Yes,Yes,'Bank Transfer'
97649,M,35,S,Regular,Yes,No,Yes,Yes,'Website Account'
42167,F,56,M,Seldom,Yes,No,Yes,Yes,'Website Account'
98275,F,49,M,Regular,No,Yes,Yes,No,'Credit Card'
83940,F,47,S,Seldom,Yes,Yes,No,No,'Bank Transfer'
70720,F,45,S,Seldom,Yes,No,Yes,No,'Monthly Billing'
53506,M,37,M,Seldom,Yes,No,Yes,Yes,'Website Account'
82338,M,42,S,Seldom,Yes,Yes,Yes,No,'Bank Transfer'
78795,F,57,S,Seldom,Yes,No,Yes,No,'Website Account'
62087,F,50,S,Seldom,Yes,Yes,No,No,'Bank Transfer'
31265,M,22,M,Seldom,Yes,No,Yes,Yes,'Monthly Billing'
94865,M,50,M,Seldom,Yes,Yes,Yes,Yes,'Monthly Billing'
65693,M,46,S,Frequent,Yes,No,No,No,'Website Account'
46304,M,33,S,Seldom,Yes,No,Yes,No,'Website Account'
81747,M,26,M,Seldom,Yes,No,No,No,'Monthly Billing'
12369,M,45,M,Regular,Yes,Yes,Yes,Yes,'Website Account'
14980,F,59,S,Seldom,Yes,No,Yes,No,'Monthly Billing'
23677,F,62,M,Frequent,Yes,No,No,No,'Monthly Billing'
35783,M,58,S,Seldom,Yes,No,Yes,No,'Website Account'
85451,M,52,M,Seldom,Yes,Yes,Yes,No,'Website Account'
73642,F,50,M,Regular,Yes,Yes,No,No,'Bank Transfer'
85169,F,28,M,Seldom,Yes,No,Yes,No,'Monthly Billing'
86453,F,62,M,Regular,No,Yes,Yes,No,'Bank Transfer'
76558,F,49,M,Seldom,Yes,No,Yes,No,'Bank Transfer'
79050,M,66,M,Regular,Yes,Yes,Yes,No,'Bank Transfer'
44534,M,30,M,Seldom,Yes,No,Yes,Yes,'Website Account'
98350,F,40,S,Frequent,Yes,No,Yes,No,'Website Account'
